aggregate data per location for Perturbator = NEGB
Exploration Boolean Negation
NEGB : negation of boolean value.
5 random tx between 3 bitcoin nodes
Random integer generated with 23 as seed
10 perturbations points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
6715       8593       95         0          24021220           2764,87            8677           1,00                     8688       8688       1737.6            5          -------------------- 98,91 
1604       6592       86         24         9594900            1433,57            5518           0,82                     6693       6693       1338.6            5          -------------------- 98,36 
2287       767        33         10         576003             711,11             366            0,45                     810        810        162.0             5          ------------------- 94,69  
2288       437        11         0          185950             415,07             338            0,75                     448        448        89.6              5          -------------------- 97,54 
2337       152        11         0          22132              135,78             102            0,63                     163        163        32.6              5          ------------------- 93,25  
2343       98         1          0          3767               38,05              97             0,98                     99         99         19.8              5          -------------------- 98,99 
2371       66         4          0          980                14,00              70             1,00                     70         70         14.0              5          ------------------- 94,29  
2374       65         0          5          885                12,64              70             1,00                     70         70         14.0              5          ------------------- 92,86  
2379       70         0          0          980                14,00              70             1,00                     70         70         14.0              5          -------------------- 100,00
2382       51         4          0          605                11,00              55             1,00                     55         55         11.0              5          ------------------- 92,73  
