Aggregate data for all tasks per location for magnitude = 1
SEP1
164 perturbation point
N Excecution Enactor
PONE : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Perturbations #Tasks     AvgPerturbationPerTask %Success                   
0          0          0          20         20         20             20         1,00                    0,00                      
1          20         0          0          20         20             20         1,00                   -------------------- 100,00
2          20         0          0          20         20             20         1,00                   -------------------- 100,00
3          20         0          0          20         20             20         1,00                   -------------------- 100,00
4          0          0          20         20         20             20         1,00                    0,00                      
5          0          20         0          20         20             20         1,00                    0,00                      
6          0          20         0          20         20             20         1,00                    0,00                      
7          0          20         0          20         20             20         1,00                    0,00                      
8          0          20         0          20         20             20         1,00                    0,00                      
9          0          20         0          20         20             20         1,00                    0,00                      
10         0          20         0          20         20             20         1,00                    0,00                      
11         0          20         0          20         20             20         1,00                    0,00                      
12         0          0          20         20         20             20         1,00                    0,00                      
13         0          20         0          20         20             20         1,00                    0,00                      
14         0          20         0          20         20             20         1,00                    0,00                      
15         0          20         0          20         20             20         1,00                    0,00                      
16         0          20         0          20         20             20         1,00                    0,00                      
17         0          20         0          20         20             20         1,00                    0,00                      
18         0          20         0          20         20             20         1,00                    0,00                      
19         0          20         0          20         20             20         1,00                    0,00                      
20         180        0          0          1600       180            180        1,00                   -------------------- 100,00
21         160        0          20         1620       180            180        1,00                   ------------------ 88,89   
23         100        40         20         1280       160            160        1,00                   ------------- 62,50        
24         100        60         0          1280       160            160        1,00                   ------------- 62,50        
25         100        40         20         1280       160            160        1,00                   ------------- 62,50        
26         100        40         20         1280       160            160        1,00                   ------------- 62,50        
27         100        40         20         1280       160            160        1,00                   ------------- 62,50        
28         0          160        0          1280       160            160        1,00                    0,00                      
29         140        20         0          1280       160            160        1,00                   ------------------ 87,50   
30         0          20         0          20         20             20         1,00                    0,00                      
31         0          20         0          20         20             20         1,00                    0,00                      
32         0          20         0          20         20             20         1,00                    0,00                      
33         0          20         0          20         20             20         1,00                    0,00                      
34         20         0          0          20         20             20         1,00                   -------------------- 100,00
35         0          20         0          20         20             20         1,00                    0,00                      
36         60         20         0          300        80             80         1,00                   --------------- 75,00      
37         60         0          20         320        80             80         1,00                   --------------- 75,00      
39         0          40         20         180        60             60         1,00                    0,00                      
40         20         20         20         180        60             60         1,00                   ------- 33,33              
41         0          40         20         180        60             60         1,00                    0,00                      
42         0          60         0          180        60             60         1,00                    0,00                      
43         3840       60         0          760440     3900           3900       1,00                   -------------------- 98,46 
44         3840       0          60         756600     3900           3900       1,00                   -------------------- 98,46 
46         2881       899        60         733440     3840           3840       1,00                   ---------------- 75,03     
47         240        3600       0          737280     3840           3840       1,00                   -- 6,25                    
48         24         3576       240        721560     3840           3840       1,00                   - 0,63                     
49         3820       0          20         736430     3840           3840       1,00                   -------------------- 99,48 
50         3820       0          20         736450     3840           3840       1,00                   -------------------- 99,48 
52         6          2964       20         447416     2990           2990       1,00                   - 0,20                     
53         0          2990       0          447416     2990           2990       1,00                    0,00                      
54         750        80         20         36536      850            850        1,00                   ------------------ 88,24   
55         750        80         20         35706      850            850        1,00                   ------------------ 88,24   
56         750        80         20         36536      850            850        1,00                   ------------------ 88,24   
57         0          850        0          36536      850            850        1,00                    0,00                      
58         0          3840       0          737280     3840           3840       1,00                    0,00                      
59         803        3037       0          737280     3840           3840       1,00                   ----- 20,91                
60         3250       590        0          737280     3840           3840       1,00                   ----------------- 84,64    
61         2880       900        60         733440     3840           3840       1,00                   --------------- 75,00      
62         1417       2423       0          737280     3840           3840       1,00                   -------- 36,90             
63         923        2677       240        721560     3840           3840       1,00                   ----- 24,04                
64         3840       0          0          737280     3840           3840       1,00                   -------------------- 100,00
65         1505       2335       0          737280     3840           3840       1,00                   -------- 39,19             
66         2880       960        0          737280     3840           3840       1,00                   --------------- 75,00      
67         2880       960        0          737280     3840           3840       1,00                   --------------- 75,00      
68         0          60         0          180        60             60         1,00                    0,00                      
69         0          60         0          180        60             60         1,00                    0,00                      
70         0          60         0          180        60             60         1,00                    0,00                      
71         0          60         0          180        60             60         1,00                    0,00                      
72         0          60         0          180        60             60         1,00                    0,00                      
73         3840       60         0          760440     3900           3900       1,00                   -------------------- 98,46 
74         3840       0          60         756600     3900           3900       1,00                   -------------------- 98,46 
76         3600       180        60         733440     3840           3840       1,00                   ------------------- 93,75  
77         960        1920       960        637920     3840           3840       1,00                   ----- 25,00                
78         0          2880       960        668640     3840           3840       1,00                    0,00                      
79         3840       0          0          737280     3840           3840       1,00                   -------------------- 100,00
80         402        3378       60         730560     3840           3840       1,00                   --- 10,47                  
81         0          2880       960        668640     3840           3840       1,00                    0,00                      
82         477        483        0          46080      960            960        1,00                   ---------- 49,69           
