contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
143 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
20 list of 100 number
Random numbers generated with 23 as seed
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
2          0          20         0          0          20         20             -------------------- 100,00
5          0          20         0          0          20         20             -------------------- 100,00
10         0          20         0          0          20         20             -------------------- 100,00
20         0          20         0          0          20         20             -------------------- 100,00
50         0          20         0          0          20         20             -------------------- 100,00
2          1          20         0          0          20         20             -------------------- 100,00
5          1          20         0          0          20         20             -------------------- 100,00
10         1          20         0          0          20         20             -------------------- 100,00
20         1          20         0          0          20         20             -------------------- 100,00
50         1          20         0          0          20         20             -------------------- 100,00
2          2          20         0          0          20         20             -------------------- 100,00
5          2          20         0          0          20         20             -------------------- 100,00
10         2          20         0          0          20         20             -------------------- 100,00
20         2          20         0          0          20         20             -------------------- 100,00
50         2          20         0          0          20         20             -------------------- 100,00
2          3          0          0          0          0          0              NaN                        
5          3          0          0          0          0          0              NaN                        
10         3          0          0          0          0          0              NaN                        
20         3          0          0          0          0          0              NaN                        
50         3          0          0          0          0          0              NaN                        
2          4          1980       20         0          200000     2000           -------------------- 99,00 
5          4          1980       20         0          200000     2000           -------------------- 99,00 
10         4          1980       20         0          200000     2000           -------------------- 99,00 
20         4          1980       20         0          200000     2000           -------------------- 99,00 
50         4          1980       20         0          200000     2000           -------------------- 99,00 
2          5          1980       20         0          200000     2000           -------------------- 99,00 
5          5          1980       20         0          200000     2000           -------------------- 99,00 
10         5          1980       20         0          200000     2000           -------------------- 99,00 
20         5          1980       20         0          200000     2000           -------------------- 99,00 
50         5          1980       20         0          200000     2000           -------------------- 99,00 
2          6          2000       0          0          200000     2000           -------------------- 100,00
5          6          2000       0          0          200000     2000           -------------------- 100,00
10         6          2000       0          0          200000     2000           -------------------- 100,00
20         6          2000       0          0          200000     2000           -------------------- 100,00
50         6          2000       0          0          200000     2000           -------------------- 100,00
2          7          1980       0          20         198020     2000           -------------------- 99,00 
5          7          1980       0          20         198020     2000           -------------------- 99,00 
10         7          1980       0          20         198020     2000           -------------------- 99,00 
20         7          1980       0          20         198020     2000           -------------------- 99,00 
50         7          1980       0          20         198020     2000           -------------------- 99,00 
2          9          20         0          0          20         20             -------------------- 100,00
5          9          20         0          0          20         20             -------------------- 100,00
10         9          20         0          0          20         20             -------------------- 100,00
20         9          20         0          0          20         20             -------------------- 100,00
50         9          20         0          0          20         20             -------------------- 100,00
2          10         20         0          0          20         20             -------------------- 100,00
5          10         20         0          0          20         20             -------------------- 100,00
10         10         20         0          0          20         20             -------------------- 100,00
20         10         20         0          0          20         20             -------------------- 100,00
50         10         20         0          0          20         20             -------------------- 100,00
2          11         20         0          0          20         20             -------------------- 100,00
5          11         20         0          0          20         20             -------------------- 100,00
10         11         20         0          0          20         20             -------------------- 100,00
20         11         20         0          0          20         20             -------------------- 100,00
50         11         20         0          0          20         20             -------------------- 100,00
2          12         20         0          0          20         20             -------------------- 100,00
5          12         20         0          0          20         20             -------------------- 100,00
10         12         20         0          0          20         20             -------------------- 100,00
20         12         20         0          0          20         20             -------------------- 100,00
50         12         20         0          0          20         20             -------------------- 100,00
2          14         0          0          0          0          0              NaN                        
5          14         0          0          0          0          0              NaN                        
10         14         0          0          0          0          0              NaN                        
20         14         0          0          0          0          0              NaN                        
50         14         0          0          0          0          0              NaN                        
2          15         0          20         0          20         20              0,00                      
5          15         0          20         0          20         20              0,00                      
10         15         0          20         0          20         20              0,00                      
20         15         0          20         0          20         20              0,00                      
50         15         0          20         0          20         20              0,00                      
2          16         4520       0          40         1039620    4560           -------------------- 99,12 
5          16         4460       0          100        1039380    4560           -------------------- 97,81 
10         16         4360       0          200        1038580    4560           -------------------- 95,61 
20         16         4160       0          400        1035480    4560           ------------------- 91,23  
50         16         3560       0          1000       1014180    4560           ---------------- 78,07     
2          17         4540       0          20         1039680    4560           -------------------- 99,56 
5          17         4540       0          20         1039680    4560           -------------------- 99,56 
10         17         4540       0          20         1039680    4560           -------------------- 99,56 
20         17         4540       0          20         1039680    4560           -------------------- 99,56 
50         17         4540       0          20         1039680    4560           -------------------- 99,56 
2          18         4520       0          40         1039620    4560           -------------------- 99,12 
5          18         4460       0          100        1039380    4560           -------------------- 97,81 
10         18         4360       0          200        1038580    4560           -------------------- 95,61 
20         18         4160       0          400        1035480    4560           ------------------- 91,23  
50         18         3560       0          1000       1014180    4560           ---------------- 78,07     
2          19         4540       0          20         1039680    4560           -------------------- 99,56 
5          19         4540       0          20         1039680    4560           -------------------- 99,56 
10         19         4540       0          20         1039680    4560           -------------------- 99,56 
20         19         4540       0          20         1039680    4560           -------------------- 99,56 
50         19         4540       0          20         1039680    4560           -------------------- 99,56 
2          21         3539       1001       0          1030580    4540           ---------------- 77,95     
5          21         3545       995        0          1030580    4540           ---------------- 78,08     
10         21         3529       1011       0          1030580    4540           ---------------- 77,73     
20         21         3523       1017       0          1030580    4540           ---------------- 77,60     
50         21         3504       1036       0          1030580    4540           ---------------- 77,18     
2          22         4540       0          0          1030580    4540           -------------------- 100,00
5          22         4540       0          0          1030580    4540           -------------------- 100,00
10         22         4540       0          0          1030580    4540           -------------------- 100,00
20         22         4540       0          0          1030580    4540           -------------------- 100,00
50         22         4540       0          0          1030580    4540           -------------------- 100,00
2          23         4043       497        0          1030580    4540           ------------------ 89,05   
5          23         3656       884        0          1030580    4540           ----------------- 80,53    
10         23         3669       871        0          1030580    4540           ----------------- 80,81    
20         23         3683       857        0          1030580    4540           ----------------- 81,12    
50         23         3401       1139       0          1030580    4540           --------------- 74,91      
2          24         3546       994        0          1030580    4540           ---------------- 78,11     
5          24         3022       1518       0          1030580    4540           -------------- 66,56       
10         24         3050       1490       0          1030580    4540           -------------- 67,18       
20         24         3033       1507       0          1030580    4540           -------------- 66,81       
50         24         2786       1754       0          1030580    4540           ------------- 61,37        
2          25         2540       2000       0          1030580    4540           ------------ 55,95         
5          25         2540       2000       0          1030580    4540           ------------ 55,95         
10         25         2540       2000       0          1030580    4540           ------------ 55,95         
20         25         2540       2000       0          1030580    4540           ------------ 55,95         
50         25         2540       2000       0          1030580    4540           ------------ 55,95         
2          26         2540       2000       0          1030580    4540           ------------ 55,95         
5          26         2540       2000       0          1030580    4540           ------------ 55,95         
10         26         2540       2000       0          1030580    4540           ------------ 55,95         
20         26         2540       2000       0          1030580    4540           ------------ 55,95         
50         26         2540       2000       0          1030580    4540           ------------ 55,95         
2          27         2540       2000       0          1030580    4540           ------------ 55,95         
5          27         2540       2000       0          1030580    4540           ------------ 55,95         
10         27         2540       2000       0          1030580    4540           ------------ 55,95         
20         27         2540       2000       0          1030580    4540           ------------ 55,95         
50         27         2540       2000       0          1030580    4540           ------------ 55,95         
2          28         2540       2000       0          1030580    4540           ------------ 55,95         
5          28         2540       2000       0          1030580    4540           ------------ 55,95         
10         28         2540       2000       0          1030580    4540           ------------ 55,95         
20         28         2540       2000       0          1030580    4540           ------------ 55,95         
50         28         2540       2000       0          1030580    4540           ------------ 55,95         
2          29         2540       2000       0          1030580    4540           ------------ 55,95         
5          29         2540       2000       0          1030580    4540           ------------ 55,95         
10         29         2540       2000       0          1030580    4540           ------------ 55,95         
20         29         2540       2000       0          1030580    4540           ------------ 55,95         
50         29         2540       2000       0          1030580    4540           ------------ 55,95         
2          30         2540       2000       0          1030580    4540           ------------ 55,95         
5          30         2540       2000       0          1030580    4540           ------------ 55,95         
10         30         2540       2000       0          1030580    4540           ------------ 55,95         
20         30         2540       2000       0          1030580    4540           ------------ 55,95         
50         30         2540       2000       0          1030580    4540           ------------ 55,95         
2          31         2540       2000       0          1030580    4540           ------------ 55,95         
5          31         2540       2000       0          1030580    4540           ------------ 55,95         
10         31         2540       2000       0          1030580    4540           ------------ 55,95         
20         31         2540       2000       0          1030580    4540           ------------ 55,95         
50         31         2540       2000       0          1030580    4540           ------------ 55,95         
2          32         2540       2000       0          1030580    4540           ------------ 55,95         
5          32         2540       2000       0          1030580    4540           ------------ 55,95         
10         32         2540       2000       0          1030580    4540           ------------ 55,95         
20         32         2540       2000       0          1030580    4540           ------------ 55,95         
50         32         2540       2000       0          1030580    4540           ------------ 55,95         
2          33         2500       2000       40         1030560    4540           ------------ 55,07         
5          33         2440       2000       100        1030380    4540           ----------- 53,74          
10         33         2340       2000       200        1029680    4540           ----------- 51,54          
20         33         2140       2000       400        1026780    4540           ---------- 47,14           
50         33         1540       2000       1000       1006080    4540           ------- 33,92              
2          34         2500       2000       40         1030560    4540           ------------ 55,07         
5          34         2440       2000       100        1030380    4540           ----------- 53,74          
10         34         2340       2000       200        1029680    4540           ----------- 51,54          
20         34         2140       2000       400        1026780    4540           ---------- 47,14           
50         34         1540       2000       1000       1006080    4540           ------- 33,92              
2          35         2500       2000       40         1030560    4540           ------------ 55,07         
5          35         2440       2000       100        1030380    4540           ----------- 53,74          
10         35         2340       2000       200        1029680    4540           ----------- 51,54          
20         35         2140       2000       400        1026780    4540           ---------- 47,14           
50         35         1540       2000       1000       1006080    4540           ------- 33,92              
2          36         2540       2000       0          1030580    4540           ------------ 55,95         
5          36         2540       2000       0          1030580    4540           ------------ 55,95         
10         36         2540       2000       0          1030580    4540           ------------ 55,95         
20         36         2540       2000       0          1030580    4540           ------------ 55,95         
50         36         2540       2000       0          1030580    4540           ------------ 55,95         
2          37         2540       2000       0          1030580    4540           ------------ 55,95         
5          37         2540       2000       0          1030580    4540           ------------ 55,95         
10         37         2540       2000       0          1030580    4540           ------------ 55,95         
20         37         2540       2000       0          1030580    4540           ------------ 55,95         
