contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
94 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
1 linear problems to be resolved
linear problem come from test of commons.math lib
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
2          0          46         0          0          2116       46             -------------------- 100.00
5          0          46         0          0          2116       46             -------------------- 100.00
10         0          46         0          0          2116       46             -------------------- 100.00
20         0          46         0          0          2124       46             -------------------- 100.00
50         0          46         0          0          2120       46             -------------------- 100.00
2          1          304        0          0          92416      304            -------------------- 100.00
5          1          304        0          0          92416      304            -------------------- 100.00
10         1          304        0          0          92416      304            -------------------- 100.00
20         1          304        0          0          92388      304            -------------------- 100.00
50         1          304        0          0          91259      304            -------------------- 100.00
2          2          304        0          0          92641      304            -------------------- 100.00
5          2          304        0          0          92523      304            -------------------- 100.00
10         2          304        0          0          92394      304            -------------------- 100.00
20         2          214        0          90         78557      304            --------------- 70.39      
50         2          0          0          304        46360      304             0.00                      
2          3          304        0          0          92528      304            -------------------- 100.00
5          3          304        0          0          92534      304            -------------------- 100.00
10         3          304        0          0          92570      304            -------------------- 100.00
20         3          284        0          20         92458      304            ------------------- 93.42  
50         3          33         0          271        53815      304            --- 10.86                  
2          4          304        0          0          90978      304            -------------------- 100.00
5          4          304        0          0          90967      304            -------------------- 100.00
10         4          304        0          0          90967      304            -------------------- 100.00
20         4          304        0          0          90967      304            -------------------- 100.00
50         4          304        0          0          90967      304            -------------------- 100.00
2          5          304        0          0          90978      304            -------------------- 100.00
5          5          304        0          0          90967      304            -------------------- 100.00
10         5          304        0          0          90967      304            -------------------- 100.00
20         5          304        0          0          90967      304            -------------------- 100.00
50         5          304        0          0          90967      304            -------------------- 100.00
2          6          304        0          0          92701      304            -------------------- 100.00
5          6          304        0          0          92717      304            -------------------- 100.00
10         6          304        0          0          92717      304            -------------------- 100.00
20         6          304        0          0          92717      304            -------------------- 100.00
50         6          304        0          0          92721      304            -------------------- 100.00
2          7          304        0          0          92701      304            -------------------- 100.00
5          7          304        0          0          92717      304            -------------------- 100.00
10         7          304        0          0          92717      304            -------------------- 100.00
20         7          304        0          0          92717      304            -------------------- 100.00
50         7          304        0          0          92721      304            -------------------- 100.00
2          8          304        0          0          92721      304            -------------------- 100.00
5          8          304        0          0          92721      304            -------------------- 100.00
10         8          304        0          0          92721      304            -------------------- 100.00
20         8          304        0          0          92721      304            -------------------- 100.00
50         8          304        0          0          92721      304            -------------------- 100.00
2          11         46         0          0          2128       46             -------------------- 100.00
5          11         46         0          0          2121       46             -------------------- 100.00
10         11         46         0          0          2121       46             -------------------- 100.00
20         11         46         0          0          2121       46             -------------------- 100.00
50         11         46         0          0          2121       46             -------------------- 100.00
2          12         46         0          0          2110       46             -------------------- 100.00
5          12         46         0          0          2109       46             -------------------- 100.00
10         12         46         0          0          2117       46             -------------------- 100.00
20         12         46         0          0          2092       46             -------------------- 100.00
50         12         0          0          46         1081       46              0.00                      
2          13         826        0          0          682276     826            -------------------- 100.00
5          13         826        0          0          682276     826            -------------------- 100.00
10         13         826        0          0          682276     826            -------------------- 100.00
20         13         805        0          21         681150     826            -------------------- 97.46 
50         13         250        0          576        491730     826            ------- 30.27              
2          14         826        0          0          682276     826            -------------------- 100.00
5          14         826        0          0          682276     826            -------------------- 100.00
10         14         826        0          0          682276     826            -------------------- 100.00
20         14         805        0          21         681150     826            -------------------- 97.46 
50         14         250        0          576        491730     826            ------- 30.27              
2          15         826        0          0          684274     826            -------------------- 100.00
5          15         825        0          1          683212     826            -------------------- 99.88 
10         15         826        0          0          682381     826            -------------------- 100.00
20         15         825        0          1          683074     826            -------------------- 99.88 
50         15         0          0          826        341551     826             0.00                      
2          16         825        0          1          682677     826            -------------------- 99.88 
5          16         825        0          1          684087     826            -------------------- 99.88 
10         16         825        0          1          684424     826            -------------------- 99.88 
20         16         810        0          16         682392     826            -------------------- 98.06 
50         16         284        0          542        506981     826            ------- 34.38              
2          17         825        0          1          681559     826            -------------------- 99.88 
5          17         825        0          1          681593     826            -------------------- 99.88 
10         17         825        0          1          681865     826            -------------------- 99.88 
20         17         825        0          1          681865     826            -------------------- 99.88 
50         17         825        0          1          681851     826            -------------------- 99.88 
2          18         825        0          1          681559     826            -------------------- 99.88 
5          18         825        0          1          681593     826            -------------------- 99.88 
10         18         825        0          1          681865     826            -------------------- 99.88 
20         18         825        0          1          681865     826            -------------------- 99.88 
50         18         825        0          1          681851     826            -------------------- 99.88 
2          19         826        0          0          689775     826            -------------------- 100.00
5          19         826        0          0          689983     826            -------------------- 100.00
10         19         826        0          0          690121     826            -------------------- 100.00
20         19         826        0          0          691010     826            -------------------- 100.00
50         19         826        0          0          691780     826            -------------------- 100.00
2          21         46         0          0          2116       46             -------------------- 100.00
5          21         46         0          0          2116       46             -------------------- 100.00
10         21         46         0          0          2116       46             -------------------- 100.00
20         21         46         0          0          2116       46             -------------------- 100.00
50         21         46         0          0          2116       46             -------------------- 100.00
2          22         46         0          0          2146       46             -------------------- 100.00
5          22         46         0          0          2177       46             -------------------- 100.00
10         22         46         0          0          2158       46             -------------------- 100.00
20         22         41         0          5          2142       46             ------------------ 89.13   
50         22         12         0          34         1461       46             ------ 26.09               
2          23         46         0          0          2116       46             -------------------- 100.00
5          23         46         0          0          2116       46             -------------------- 100.00
10         23         46         0          0          2116       46             -------------------- 100.00
20         23         42         0          4          2110       46             ------------------- 91.30  
50         23         12         0          34         1451       46             ------ 26.09               
2          25         46         0          0          2146       46             -------------------- 100.00
5          25         46         0          0          2177       46             -------------------- 100.00
10         25         46         0          0          2158       46             -------------------- 100.00
20         25         41         0          5          2142       46             ------------------ 89.13   
50         25         12         0          34         1461       46             ------ 26.09               
2          26         46         0          0          2116       46             -------------------- 100.00
5          26         46         0          0          2116       46             -------------------- 100.00
10         26         46         0          0          2116       46             -------------------- 100.00
20         26         46         0          0          2116       46             -------------------- 100.00
50         26         46         0          0          2116       46             -------------------- 100.00
2          27         44         0          2          2046       46             -------------------- 95.65 
5          27         43         0          3          2018       46             ------------------- 93.48  
10         27         42         0          4          1982       46             ------------------- 91.30  
20         27         25         2          19         1866       46             ----------- 54.35          
50         27         0          0          46         1081       46              0.00                      
2          28         1288       0          0          1658806    1288           -------------------- 100.00
5          28         1286       2          0          1656798    1288           -------------------- 99.84 
10         28         1274       11         3          1650982    1288           -------------------- 98.91 
20         28         1139       31         118        1580768    1288           ------------------ 88.43   
50         28         916        40         332        1439760    1288           --------------- 71.12      
2          29         1126       10         106        1485521    1242           ------------------- 90.66  
5          29         1007       4          231        1400597    1242           ----------------- 81.08    
10         29         779        3          460        1260774    1242           ------------- 62.72        
20         29         319        2          921        974222     1242           ------ 25.68               
50         29         0          0          1242       771903     1242            0.00                      
2          30         1212       13         17         1543374    1242           -------------------- 97.58 
5          30         1225       9          8          1542456    1242           -------------------- 98.63 
10         30         1215       13         14         1542888    1242           -------------------- 97.83 
20         30         1215       12         15         1542861    1242           -------------------- 97.83 
50         30         1216       11         15         1544184    1242           -------------------- 97.91 
2          31         1242       0          0          1542213    1242           -------------------- 100.00
5          31         1242       0          0          1541943    1242           -------------------- 100.00
10         31         1242       0          0          1542186    1242           -------------------- 100.00
20         31         1241       1          0          1541997    1242           -------------------- 99.92 
50         31         1241       1          0          1542105    1242           -------------------- 99.92 
2          32         1086       8          148        1462976    1242           ------------------ 87.44   
5          32         967        10         265        1386017    1242           ---------------- 77.86     
10         32         745        4          493        1246302    1242           ------------ 59.98         
20         32         311        1          930        969335     1242           ------ 25.04               
50         32         0          0          1242       771903     1242            0.00                      
2          33         1226       6          10         1539837    1242           -------------------- 98.71 
5          33         1212       5          25         1532493    1242           -------------------- 97.58 
10         33         1208       6          28         1523772    1242           -------------------- 97.26 
20         33         1099       8          135        1529739    1242           ------------------ 88.49   
50         33         320        2          920        1043847    1242           ------ 25.76               
2          34         901        52         289        1444176    1242           --------------- 72.54      
5          34         871        57         314        1439910    1242           --------------- 70.13      
10         34         861        59         322        1440504    1242           -------------- 69.32       
20         34         841        60         341        1440423    1242           -------------- 67.71       
50         34         826        60         356        1436967    1242           -------------- 66.51       
2          35         1236       2          4          1543941    1242           -------------------- 99.52 
5          35         1236       2          4          1544481    1242           -------------------- 99.52 
10         35         1236       2          4          1544400    1242           -------------------- 99.52 
20         35         1236       2          4          1544562    1242           -------------------- 99.52 
50         35         1236       2          4          1545075    1242           -------------------- 99.52 
2          36         1234       1          7          1538838    1242           -------------------- 99.36 
5          36         1234       1          7          1538730    1242           -------------------- 99.36 
10         36         1234       1          7          1538730    1242           -------------------- 99.36 
20         36         1234       1          7          1538730    1242           -------------------- 99.36 
50         36         1234       1          7          1538730    1242           -------------------- 99.36 
2          37         1234       1          7          1538838    1242           -------------------- 99.36 
5          37         1234       1          7          1538730    1242           -------------------- 99.36 
10         37         1234       1          7          1538730    1242           -------------------- 99.36 
20         37         1234       1          7          1538730    1242           -------------------- 99.36 
50         37         1234       1          7          1538730    1242           -------------------- 99.36 
2          38         1234       1          7          1538730    1242           -------------------- 99.36 
5          38         1234       1          7          1538730    1242           -------------------- 99.36 
10         38         1234       1          7          1538730    1242           -------------------- 99.36 
20         38         1234       1          7          1538730    1242           -------------------- 99.36 
