aggregate data per location for magnitude = 50
SEPM
94 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
1 linear problems to be resolved
linear problem come from test of commons.math lib
IndexLoc   #Success   #Failure   #Exception #Call      #Perturbation  #Task      AvgPerturbationPerTask %Success                   
174        46         0          0          2120       46             46         1,00                   -------------------- 100,00
175        304        0          0          91259      304            304        1,00                   -------------------- 100,00
176        0          0          304        46360      304            304        1,00                    0,00                      
177        33         0          271        53815      304            304        1,00                   --- 10,86                  
178        304        0          0          90967      304            304        1,00                   -------------------- 100,00
179        304        0          0          90967      304            304        1,00                   -------------------- 100,00
180        304        0          0          92721      304            304        1,00                   -------------------- 100,00
181        304        0          0          92721      304            304        1,00                   -------------------- 100,00
182        304        0          0          92721      304            304        1,00                   -------------------- 100,00
185        46         0          0          2121       46             46         1,00                   -------------------- 100,00
186        0          0          46         1081       46             46         1,00                    0,00                      
187        250        0          576        491730     826            826        1,00                   ------- 30,27              
188        250        0          576        491730     826            826        1,00                   ------- 30,27              
189        0          0          826        341551     826            826        1,00                    0,00                      
190        284        0          542        506981     826            826        1,00                   ------- 34,38              
191        825        0          1          681851     826            826        1,00                   -------------------- 99,88 
192        825        0          1          681851     826            826        1,00                   -------------------- 99,88 
193        826        0          0          691780     826            826        1,00                   -------------------- 100,00
195        46         0          0          2116       46             46         1,00                   -------------------- 100,00
196        12         0          34         1461       46             46         1,00                   ------ 26,09               
197        12         0          34         1451       46             46         1,00                   ------ 26,09               
199        12         0          34         1461       46             46         1,00                   ------ 26,09               
200        46         0          0          2116       46             46         1,00                   -------------------- 100,00
201        0          0          46         1081       46             46         1,00                    0,00                      
202        916        40         332        1439760    1288           1288       1,00                   --------------- 71,12      
203        0          0          1242       771903     1242           1242       1,00                    0,00                      
204        1216       11         15         1544184    1242           1242       1,00                   -------------------- 97,91 
205        1241       1          0          1542105    1242           1242       1,00                   -------------------- 99,92 
206        0          0          1242       771903     1242           1242       1,00                    0,00                      
207        320        2          920        1043847    1242           1242       1,00                   ------ 25,76               
208        822        64         356        1436967    1242           1242       1,00                   -------------- 66,18       
209        1236       2          4          1545075    1242           1242       1,00                   -------------------- 99,52 
210        1234       1          7          1538730    1242           1242       1,00                   -------------------- 99,36 
211        1234       1          7          1538730    1242           1242       1,00                   -------------------- 99,36 
212        1234       1          7          1538730    1242           1242       1,00                   -------------------- 99,36 
213        197        1          0          39103      198            198        1,00                   -------------------- 99,49 
214        185        7          6          39757      198            198        1,00                   ------------------- 93,43  
215        198        0          0          39136      198            198        1,00                   -------------------- 100,00
216        198        0          0          39136      198            198        1,00                   -------------------- 100,00
217        198        0          0          39181      198            198        1,00                   -------------------- 100,00
218        198        0          0          39022      198            198        1,00                   -------------------- 100,00
219        190        1          7          38512      198            198        1,00                   -------------------- 95,96 
220        198        0          0          39216      198            198        1,00                   -------------------- 100,00
221        198        0          0          39216      198            198        1,00                   -------------------- 100,00
223        1          0          20         249        21             21         1,00                   - 4,76                     
224        169        1          7          30640      177            177        1,00                   -------------------- 95,48 
225        159        9          9          30896      177            177        1,00                   ------------------ 89,83   
227        90         0          0          8056       90             90         1,00                   -------------------- 100,00
228        44         0          46         5910       90             90         1,00                   ---------- 48,89           
229        46         0          0          2116       46             46         1,00                   -------------------- 100,00
230        46         0          0          2116       46             46         1,00                   -------------------- 100,00
232        46         0          0          2116       46             46         1,00                   -------------------- 100,00
233        46         0          0          2118       46             46         1,00                   -------------------- 100,00
235        13         0          0          169        13             13         1,00                   -------------------- 100,00
236        27         0          0          727        27             27         1,00                   -------------------- 100,00
237        237        0          0          55158      237            237        1,00                   -------------------- 100,00
238        0          0          211        22366      211            211        1,00                    0,00                      
239        0          0          211        22366      211            211        1,00                    0,00                      
240        0          0          211        22366      211            211        1,00                    0,00                      
241        211        0          0          44505      211            211        1,00                   -------------------- 100,00
242        211        0          0          44505      211            211        1,00                   -------------------- 100,00
243        211        0          0          44505      211            211        1,00                   -------------------- 100,00
