Aggregate data for all tasks per location for magnitude = 1
SEP1
94 perturbation point
N Excecution Enactor
PONE : Numerical Perturbator
4 linear problems to be resolved
linear problem come from test of commons.math lib
IndexLoc   #Success   #Failure   #Exception #Call      #Perturbations #Tasks     AvgPerturbationPerTask %Success                   
174        46         0          0          2116       46             46         1,00                   -------------------- 100,00
175        304        0          0          92416      304            304        1,00                   -------------------- 100,00
176        304        0          0          92680      304            304        1,00                   -------------------- 100,00
177        304        0          0          92563      304            304        1,00                   -------------------- 100,00
178        304        0          0          90995      304            304        1,00                   -------------------- 100,00
179        304        0          0          90995      304            304        1,00                   -------------------- 100,00
180        304        0          0          92653      304            304        1,00                   -------------------- 100,00
181        304        0          0          92653      304            304        1,00                   -------------------- 100,00
182        304        0          0          92721      304            304        1,00                   -------------------- 100,00
185        46         0          0          2136       46             46         1,00                   -------------------- 100,00
186        46         0          0          2109       46             46         1,00                   -------------------- 100,00
187        826        0          0          682276     826            826        1,00                   -------------------- 100,00
188        826        0          0          682276     826            826        1,00                   -------------------- 100,00
189        825        0          1          684169     826            826        1,00                   -------------------- 99,88 
190        825        0          1          682729     826            826        1,00                   -------------------- 99,88 
191        825        0          1          681640     826            826        1,00                   -------------------- 99,88 
192        825        0          1          681640     826            826        1,00                   -------------------- 99,88 
193        826        0          0          690005     826            826        1,00                   -------------------- 100,00
195        46         0          0          2116       46             46         1,00                   -------------------- 100,00
196        46         0          0          2120       46             46         1,00                   -------------------- 100,00
197        46         0          0          2116       46             46         1,00                   -------------------- 100,00
199        46         0          0          2120       46             46         1,00                   -------------------- 100,00
200        46         0          0          2116       46             46         1,00                   -------------------- 100,00
201        45         0          1          2062       46             46         1,00                   -------------------- 97,83 
202        1288       0          0          1658898    1288           1288       1,00                   -------------------- 100,00
203        1182       4          56         1514295    1242           1242       1,00                   -------------------- 95,17 
204        1216       12         14         1543806    1242           1242       1,00                   -------------------- 97,91 
205        1242       0          0          1542213    1242           1242       1,00                   -------------------- 100,00
206        1144       6          92         1498770    1242           1242       1,00                   ------------------- 92,11  
207        1223       7          12         1540620    1242           1242       1,00                   -------------------- 98,47 
208        920        52         270        1443933    1242           1242       1,00                   --------------- 74,07      
209        1236       2          4          1543428    1242           1242       1,00                   -------------------- 99,52 
210        1235       1          6          1539135    1242           1242       1,00                   -------------------- 99,44 
211        1235       1          6          1539135    1242           1242       1,00                   -------------------- 99,44 
212        1234       1          7          1538730    1242           1242       1,00                   -------------------- 99,36 
213        198        0          0          39147      198            198        1,00                   -------------------- 100,00
214        191        5          2          39312      198            198        1,00                   -------------------- 96,46 
215        198        0          0          39147      198            198        1,00                   -------------------- 100,00
216        198        0          0          39147      198            198        1,00                   -------------------- 100,00
217        198        0          0          39223      198            198        1,00                   -------------------- 100,00
218        198        0          0          39033      198            198        1,00                   -------------------- 100,00
219        193        1          4          38873      198            198        1,00                   -------------------- 97,47 
220        193        1          4          38873      198            198        1,00                   -------------------- 97,47 
221        193        4          1          39286      198            198        1,00                   -------------------- 97,47 
223        17         0          4          427        21             21         1,00                   ----------------- 80,95    
224        169        1          7          30640      177            177        1,00                   -------------------- 95,48 
225        177        0          0          31329      177            177        1,00                   -------------------- 100,00
227        90         0          0          8043       90             90         1,00                   -------------------- 100,00
228        56         6          28         7002       90             90         1,00                   ------------- 62,22        
229        46         0          0          2116       46             46         1,00                   -------------------- 100,00
230        13         0          33         1443       46             46         1,00                   ------ 28,26               
232        46         0          0          2116       46             46         1,00                   -------------------- 100,00
233        46         0          0          2118       46             46         1,00                   -------------------- 100,00
235        13         0          0          169        13             13         1,00                   -------------------- 100,00
236        27         0          0          729        27             27         1,00                   -------------------- 100,00
237        237        0          0          56143      237            237        1,00                   -------------------- 100,00
238        211        0          0          44504      211            211        1,00                   -------------------- 100,00
239        211        0          0          44505      211            211        1,00                   -------------------- 100,00
240        211        0          0          44505      211            211        1,00                   -------------------- 100,00
241        211        0          0          44505      211            211        1,00                   -------------------- 100,00
242        211        0          0          44505      211            211        1,00                   -------------------- 100,00
243        211        0          0          44505      211            211        1,00                   -------------------- 100,00
244        211        0          0          44521      211            211        1,00                   -------------------- 100,00
245        8          0          0          63         8              8          1,00                   -------------------- 100,00
247        0          0          1          1          1              1          1,00                    0,00                      
248        12         0          0          144        12             12         1,00                   -------------------- 100,00
249        31         0          0          960        31             31         1,00                   -------------------- 100,00
250        31         0          0          961        31             31         1,00                   -------------------- 100,00
251        31         0          0          961        31             31         1,00                   -------------------- 100,00
252        31         0          0          961        31             31         1,00                   -------------------- 100,00
254        14         0          0          196        14             14         1,00                   -------------------- 100,00
255        8          2          4          170        14             14         1,00                   ------------ 57,14         
256        6          2          4          121        12             12         1,00                   ---------- 50,00           
257        0          0          33         561        33             33         1,00                    0,00                      
258        5          4          24         776        33             33         1,00                   ---- 15,15                 
259        0          0          1          1          1              1          1,00                    0,00                      
260        1          0          0          1          1              1          1,00                   -------------------- 100,00
262        1          0          0          1          1              1          1,00                   -------------------- 100,00
263        33         0          0          1088       33             33         1,00                   -------------------- 100,00
264        32         0          1          1089       33             33         1,00                   -------------------- 96,97 
266        31         0          1          1024       32             32         1,00                   -------------------- 96,88 
267        32         0          0          1024       32             32         1,00                   -------------------- 100,00
268        9          0          23         676        32             32         1,00                   ------ 28,13               
269        32         0          0          1024       32             32         1,00                   -------------------- 100,00
270        9          0          23         676        32             32         1,00                   ------ 28,13               
271        46         0          0          2120       46             46         1,00                   -------------------- 100,00
272        24         2          20         1862       46             46         1,00                   ----------- 52,17          
273        11         6          29         1546       46             46         1,00                   ----- 23,91                
275        17         13         16         1832       46             46         1,00                   -------- 36,96             
276        11         6          29         1546       46             46         1,00                   ----- 23,91                
277        1          0          0          1          1              1          1,00                   -------------------- 100,00
278        0          0          1          1          1              1          1,00                    0,00                      
279        0          0          1          1          1              1          1,00                    0,00                      
280        1          0          0          1          1              1          1,00                   -------------------- 100,00
