aggregate data per location for magnitude = 1
SEPM
37 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #CallRef   #Tasks     %Success                   
303        68         22         0          8102               90,02              90             1,00                     90         90         1          ---------------- 75,56     
304        87         0          3          7941               88,23              90             1,00                     90         90         1          -------------------- 96,67 
305        90         0          0          8091               89,90              90             1,00                     90         90         1          -------------------- 100,00
306        90         0          0          8095               89,94              90             1,00                     90         90         1          -------------------- 100,00
307        90         0          0          8093               89,92              90             1,00                     90         90         1          -------------------- 100,00
308        90         0          0          8095               89,94              90             1,00                     90         90         1          -------------------- 100,00
309        90         0          0          8086               89,84              90             1,00                     90         90         1          -------------------- 100,00
310        90         0          0          8091               89,90              90             1,00                     90         90         1          -------------------- 100,00
311        90         0          0          8091               89,90              90             1,00                     90         90         1          -------------------- 100,00
312        89         0          1          8092               89,91              90             1,00                     90         90         1          -------------------- 98,89 
313        302        0          0          91226              302,07             302            1,00                     302        302        1          -------------------- 100,00
314        302        0          0          91259              302,18             302            1,00                     302        302        1          -------------------- 100,00
316        301        117        2          175473             417,79             420            1,00                     420        420        1          --------------- 71,67      
317        420        0          0          176400             420,00             420            1,00                     420        420        1          -------------------- 100,00
318        418        0          2          176382             419,96             420            1,00                     420        420        1          -------------------- 99,52 
320        342        124        5          218915             464,79             471            1,00                     471        471        1          --------------- 72,61      
321        469        0          2          221151             469,54             471            1,00                     471        471        1          -------------------- 99,58 
322        471        0          0          221841             471,00             471            1,00                     471        471        1          -------------------- 100,00
324        212        0          0          44979              212,17             212            1,00                     212        212        1          -------------------- 100,00
325        182        30         0          44885              211,72             212            1,00                     212        212        1          ------------------ 85,85   
327        2          179        1          33116              181,96             182            1,00                     182        182        1          - 1,10                     
328        0          180        2          33017              181,41             182            1,00                     182        182        1           0,00                      
329        86         4          0          8083               89,81              90             1,00                     90         90         1          -------------------- 95,56 
330        90         0          0          8119               90,21              90             1,00                     90         90         1          -------------------- 100,00
332        22         23         0          2015               44,78              45             1,00                     45         45         1          ---------- 48,89           
333        45         0          0          2026               45,02              45             1,00                     45         45         1          -------------------- 100,00
334        89         1          0          8086               89,84              90             1,00                     90         90         1          -------------------- 98,89 
335        90         0          0          8146               90,51              90             1,00                     90         90         1          -------------------- 100,00
337        24         20         0          1934               43,95              44             1,00                     44         44         1          ----------- 54,55          
338        42         0          2          1925               43,75              44             1,00                     44         44         1          -------------------- 95,45 
339        0          181        1          33078              181,75             182            1,00                     182        182        1           0,00                      
340        2          180        0          33124              182,00             182            1,00                     182        182        1          - 1,10                     
341        1          181        0          33165              182,23             182            1,00                     182        182        1          - 0,55                     
342        35         145        2          33026              181,46             182            1,00                     182        182        1          ---- 19,23                 
343        35         146        1          32976              181,19             182            1,00                     182        182        1          ---- 19,23                 
344        0          181        1          33073              181,72             182            1,00                     182        182        1           0,00                      
345        2          180        0          33124              182,00             182            1,00                     182        182        1          - 1,10                     
