aggregate data per location for magnitude = 2
SEPM
37 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Perturbation  #Task      AvgPerturbationPerTask %Success                   
303        128        52         0          16238      180            90         2,00                   --------------- 71,11      
304        169        0          11         15839      180            90         2,00                   ------------------- 93,89  
305        180        0          0          16213      180            90         2,00                   -------------------- 100,00
306        180        0          0          16186      180            90         2,00                   -------------------- 100,00
307        180        0          0          16186      180            90         2,00                   -------------------- 100,00
308        180        0          0          16186      180            90         2,00                   -------------------- 100,00
309        180        0          0          16167      180            90         2,00                   -------------------- 100,00
310        180        0          0          16213      180            90         2,00                   -------------------- 100,00
311        180        0          0          16213      180            90         2,00                   -------------------- 100,00
312        178        0          2          16184      180            90         2,00                   -------------------- 98,89 
313        604        0          0          182565     604            302        2,00                   -------------------- 100,00
314        604        0          0          182553     604            302        2,00                   -------------------- 100,00
316        598        237        5          350770     840            420        2,00                   --------------- 71,19      
317        840        0          0          352800     840            420        2,00                   -------------------- 100,00
318        836        0          4          352764     840            420        2,00                   -------------------- 99,52 
320        669        255        18         436885     942            471        2,00                   --------------- 71,02      
321        938        0          4          442302     942            471        2,00                   -------------------- 99,58 
322        942        0          0          443682     942            471        2,00                   -------------------- 100,00
324        424        0          0          89983      424            212        2,00                   -------------------- 100,00
325        364        60         0          89770      424            212        2,00                   ------------------ 85,85   
327        6          355        3          66101      364            182        2,00                   - 1,65                     
328        0          359        5          65978      364            182        2,00                    0,00                      
329        167        13         0          16157      180            90         2,00                   ------------------- 92,78  
330        180        0          0          16264      180            90         2,00                   -------------------- 100,00
332        35         55         0          4015       90             45         2,00                   -------- 38,89             
333        89         0          1          4039       90             45         2,00                   -------------------- 98,89 
334        175        5          0          16164      180            90         2,00                   -------------------- 97,22 
335        180        0          0          16292      180            90         2,00                   -------------------- 100,00
337        39         49         0          3846       88             44         2,00                   --------- 44,32            
338        80         0          8          3862       88             44         2,00                   ------------------- 90,91  
339        1          361        2          66175      364            182        2,00                   - 0,27                     
340        4          360        0          66248      364            182        2,00                   - 1,10                     
341        2          361        1          66200      364            182        2,00                   - 0,55                     
342        70         289        5          66030      364            182        2,00                   ---- 19,23                 
343        70         292        2          65952      364            182        2,00                   ---- 19,23                 
344        0          361        3          66093      364            182        2,00                    0,00                      
345        4          360        0          66248      364            182        2,00                   - 1,10                     
