aggregate data per location for magnitude = 0.05
SERN
37 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        443        100        1          0          0          ----------------- 81,43    
304        435        0          109        0          0          ---------------- 79,96     
305        474        0          70         0          0          ------------------ 87,13   
306        510        0          34         0          0          ------------------- 93,75  
307        512        0          32         0          0          ------------------- 94,12  
308        510        0          34         0          0          ------------------- 93,75  
309        544        0          0          0          0          -------------------- 100,00
310        474        0          70         0          0          ------------------ 87,13   
311        474        0          70         0          0          ------------------ 87,13   
312        538        0          6          0          0          -------------------- 98,90 
313        1816       0          0          0          0          -------------------- 100,00
314        1816       0          0          0          0          -------------------- 100,00
316        1437       803        284        0          0          ------------ 56,93         
317        2524       0          0          0          0          -------------------- 100,00
318        2512       0          12         0          0          -------------------- 99,52 
320        1734       630        466        0          0          ------------- 61,27        
321        2818       0          12         0          0          -------------------- 99,58 
322        2830       0          0          0          0          -------------------- 100,00
324        1276       0          0          0          0          -------------------- 100,00
325        1096       180        0          0          0          ------------------ 85,89   
327        9          969        118        0          0          - 0,82                     
328        1          891        204        0          0          - 0,09                     
329        428        116        0          0          0          ---------------- 78,68     
330        544        0          0          0          0          -------------------- 100,00
332        87         174        13         0          0          ------- 31,75              
333        235        0          39         0          0          ------------------ 85,77   
334        449        95         0          0          0          ----------------- 82,54    
335        544        0          0          0          0          -------------------- 100,00
337        96         148        24         0          0          -------- 35,82             
338        205        0          63         0          0          ---------------- 76,49     
339        5          978        113        0          0          - 0,46                     
340        13         1083       0          0          0          - 1,19                     
341        5          977        114        0          0          - 0,46                     
342        182        710        204        0          0          ---- 16,61                 
343        211        879        6          0          0          ---- 19,25                 
344        1          897        198        0          0          - 0,09                     
345        13         1083       0          0          0          - 1,19                     
