aggregate data per location for random rate = 0.1
SERN
37 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
5 repetition for each location for each task
1 arrays of 100 integers
Random integer generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #Tasks     %Success                   
303        458        106        1          51127              10225,40           614            122,80                   5          1          ----------------- 81,06    
304        454        0          111        48107              9621,40            598            119,60                   5          1          ----------------- 80,35    
305        495        0          70         49904              9980,80            612            122,40                   5          1          ------------------ 87,61   
306        531        0          34         50688              10137,60           614            122,80                   5          1          ------------------- 93,98  
307        533        0          32         48536              9707,20            614            122,80                   5          1          ------------------- 94,34  
308        531        0          34         50688              10137,60           614            122,80                   5          1          ------------------- 93,98  
309        565        0          0          50787              10157,40           612            122,40                   5          1          -------------------- 100,00
310        495        0          70         49904              9980,80            612            122,40                   5          1          ------------------ 87,61   
311        495        0          70         49904              9980,80            612            122,40                   5          1          ------------------ 87,61   
312        559        0          6          50822              10164,40           615            123,00                   5          1          -------------------- 98,94 
313        1837       0          0          560360             112072,00          2057           411,40                   5          1          -------------------- 100,00
314        1837       0          0          555339             111067,80          2058           411,60                   5          1          -------------------- 100,00
316        1443       818        284        1041879            208375,80          2871           574,20                   5          1          ------------ 56,70         
317        2545       0          0          1068900            213780,00          2866           573,20                   5          1          -------------------- 100,00
318        2529       0          16         1068572            213714,40          2850           570,00                   5          1          -------------------- 99,37 
320        1740       643        468        1258836            251767,20          3189           637,80                   5          1          ------------- 61,03        
321        2838       0          13         1338332            267666,40          3178           635,60                   5          1          -------------------- 99,54 
322        2851       0          0          1342821            268564,20          3218           643,60                   5          1          -------------------- 100,00
324        1297       0          0          275608             55121,60           1452           290,40                   5          1          -------------------- 100,00
325        1106       191        0          274571             54914,20           1449           289,80                   5          1          ------------------ 85,27   
327        18         980        119        199546             39909,20           1245           249,00                   5          1          - 1,61                     
328        10         902        205        189467             37893,40           1239           247,80                   5          1          - 0,90                     
329        446        119        0          50286              10057,20           612            122,40                   5          1          ---------------- 78,94     
330        565        0          0          51114              10222,80           615            123,00                   5          1          -------------------- 100,00
332        100        182        13         12885              2577,00            306            61,20                    5          1          ------- 33,90              
333        256        0          39         13682              2736,40            306            61,20                    5          1          ------------------ 86,78   
334        468        97         0          50199              10039,80           612            122,40                   5          1          ----------------- 82,83    
335        565        0          0          51164              10232,80           618            123,60                   5          1          -------------------- 100,00
337        107        158        24         12311              2462,20            300            60,00                    5          1          -------- 37,02             
338        225        0          64         12952              2590,40            300            60,00                    5          1          ---------------- 77,85     
339        14         989        114        200035             40007,00           1248           249,60                   5          1          - 1,25                     
340        22         1095       0          203294             40658,80           1250           250,00                   5          1          - 1,97                     
341        14         989        114        199669             39933,80           1248           249,60                   5          1          - 1,25                     
342        191        719        207        189682             37936,40           1240           248,00                   5          1          ---- 17,10                 
343        220        891        6          202402             40480,40           1249           249,80                   5          1          ---- 19,70                 
344        10         908        199        190114             38022,80           1247           249,40                   5          1          - 0,90                     
345        22         1095       0          203294             40658,80           1250           250,00                   5          1          - 1,97                     
