aggregate data per location for Magnitude = 1
Exploration Plus Magnitude
magnitude value : 1 2 5 10 20 50 75 100 
37 perturbation point
PM : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 32 as seed
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
303        61         26         1          7762               88,20              88             1,00                     88         88         88.0              1          -------------- 69,32       
304        85         0          3          7632               86,73              88             1,00                     88         88         88.0              1          -------------------- 96,59 
305        88         0          0          7757               88,15              88             1,00                     88         88         88.0              1          -------------------- 100,00
306        88         0          0          7743               87,99              88             1,00                     88         88         88.0              1          -------------------- 100,00
307        88         0          0          7755               88,13              88             1,00                     88         88         88.0              1          -------------------- 100,00
308        88         0          0          7743               87,99              88             1,00                     88         88         88.0              1          -------------------- 100,00
309        88         0          0          7763               88,22              88             1,00                     88         88         88.0              1          -------------------- 100,00
310        88         0          0          7757               88,15              88             1,00                     88         88         88.0              1          -------------------- 100,00
311        88         0          0          7757               88,15              88             1,00                     88         88         88.0              1          -------------------- 100,00
312        87         0          1          7783               88,44              88             1,00                     88         88         88.0              1          -------------------- 98,86 
313        287        0          0          82388              287,07             287            1,00                     287        287        287.0             1          -------------------- 100,00
314        287        0          0          82434              287,23             287            1,00                     287        287        287.0             1          -------------------- 100,00
316        300        138        1          192506             438,51             439            1,00                     439        439        439.0             1          -------------- 68,34       
317        439        0          0          192721             439,00             439            1,00                     439        439        439.0             1          -------------------- 100,00
318        438        0          1          192966             439,56             439            1,00                     439        439        439.0             1          -------------------- 99,77 
320        260        142        4          164323             404,74             406            1,00                     406        406        406.0             1          ------------- 64,04        
321        405        0          1          164693             405,65             406            1,00                     406        406        406.0             1          -------------------- 99,75 
322        406        0          0          164836             406,00             406            1,00                     406        406        406.0             1          -------------------- 100,00
324        199        0          0          39624              199,12             199            1,00                     199        199        199.0             1          -------------------- 100,00
325        172        27         0          39555              198,77             199            1,00                     199        199        199.0             1          ------------------ 86,43   
327        6          166        0          29677              172,54             172            1,00                     172        172        172.0             1          - 3,49                     
328        0          169        3          29467              171,32             172            1,00                     172        172        172.0             1           0,00                      
329        83         5          0          7733               87,88              88             1,00                     88         88         88.0              1          ------------------- 94,32  
330        88         0          0          7779               88,40              88             1,00                     88         88         88.0              1          -------------------- 100,00
332        10         31         0          1670               40,73              41             1,00                     41         41         41.0              1          ----- 24,39                
333        41         0          0          1683               41,05              41             1,00                     41         41         41.0              1          -------------------- 100,00
334        77         11         0          7727               87,81              88             1,00                     88         88         88.0              1          ------------------ 87,50   
335        88         0          0          7786               88,48              88             1,00                     88         88         88.0              1          -------------------- 100,00
337        15         31         0          2101               45,67              46             1,00                     46         46         46.0              1          ------- 32,61              
338        44         0          2          2128               46,26              46             1,00                     46         46         46.0              1          -------------------- 95,65 
339        1          171        0          29660              172,44             172            1,00                     172        172        172.0             1          - 0,58                     
340        3          169        0          29584              172,00             172            1,00                     172        172        172.0             1          - 1,74                     
341        1          171        0          29669              172,49             172            1,00                     172        172        172.0             1          - 0,58                     
342        23         146        3          29434              171,13             172            1,00                     172        172        172.0             1          --- 13,37                  
343        23         149        0          29581              171,98             172            1,00                     172        172        172.0             1          --- 13,37                  
344        0          169        3          29408              170,98             172            1,00                     172        172        172.0             1           0,00                      
345        3          169        0          29584              172,00             172            1,00                     172        172        172.0             1          - 1,74                     
