contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
11 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
100 arrays of 200 integers
Random integer generated with 23 as seed
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
2          1          9951       0          10049      3042456    20000          ---------- 49.76           
5          1          5634       0          14366      2624250    20000          ------ 28.17               
10         1          3229       0          16771      2384616    20000          ---- 16.15                 
20         1          1745       0          18255      2231518    20000          -- 8.73                    
50         1          674        0          19326      2112445    20000          - 3.37                     
2          2          20000      0          0          4020000    20000          -------------------- 100.00
5          2          20000      0          0          4020000    20000          -------------------- 100.00
10         2          20000      0          0          4020000    20000          -------------------- 100.00
20         2          20000      0          0          4020000    20000          -------------------- 100.00
50         2          20000      0          0          4020000    20000          -------------------- 100.00
2          3          176596     0          0          313813400  176596         -------------------- 100.00
5          3          176596     0          0          313813400  176596         -------------------- 100.00
10         3          176596     0          0          313813400  176596         -------------------- 100.00
20         3          176596     0          0          313813400  176596         -------------------- 100.00
50         3          176596     0          0          313813400  176596         -------------------- 100.00
2          4          98918      77678      0          313211842  176596         ------------ 56.01         
5          4          98918      77678      0          313211842  176596         ------------ 56.01         
10         4          98918      77678      0          313211842  176596         ------------ 56.01         
20         4          98918      77678      0          313211842  176596         ------------ 56.01         
50         4          98918      77678      0          313211842  176596         ------------ 56.01         
2          5          97678      78918      0          313695545  176596         ------------ 55.31         
5          5          97678      78918      0          313695545  176596         ------------ 55.31         
10         5          97678      78918      0          313695545  176596         ------------ 55.31         
20         5          97678      78918      0          313695545  176596         ------------ 55.31         
50         5          97678      78918      0          313695545  176596         ------------ 55.31         
2          7          0          77678      0          61607022   77678           0.00                      
5          7          0          77678      0          61607022   77678           0.00                      
10         7          0          77678      0          61607022   77678           0.00                      
20         7          0          77678      0          61607022   77678           0.00                      
50         7          0          77678      0          61607022   77678           0.00                      
2          8          98918      0          0          99141440   98918          -------------------- 100.00
5          8          98918      0          0          99141440   98918          -------------------- 100.00
10         8          98918      0          0          99141440   98918          -------------------- 100.00
20         8          98918      0          0          99141440   98918          -------------------- 100.00
50         8          98918      0          0          99141440   98918          -------------------- 100.00
2          9          98918      0          0          99240358   98918          -------------------- 100.00
5          9          98918      0          0          99240358   98918          -------------------- 100.00
10         9          98918      0          0          99240358   98918          -------------------- 100.00
20         9          98918      0          0          99240358   98918          -------------------- 100.00
50         9          98918      0          0          99240358   98918          -------------------- 100.00
2          10         30000      68918      0          98841850   98918          ------- 30.33              
5          10         30000      68918      0          98841850   98918          ------- 30.33              
10         10         30000      68918      0          98841850   98918          ------- 30.33              
20         10         30000      68918      0          98841850   98918          ------- 30.33              
50         10         30000      68918      0          98841850   98918          ------- 30.33              
2          12         0          78918      0          63574240   78918           0.00                      
5          12         0          78918      0          63574240   78918           0.00                      
10         12         0          78918      0          63574240   78918           0.00                      
20         12         0          78918      0          63574240   78918           0.00                      
50         12         0          78918      0          63574240   78918           0.00                      
2          13         0          20000      0          4000000    20000           0.00                      
5          13         0          20000      0          4000000    20000           0.00                      
10         13         0          20000      0          4000000    20000           0.00                      
20         13         0          20000      0          4000000    20000           0.00                      
50         13         0          20000      0          4000000    20000           0.00                      
