Aggregate data for all tasks per location for magnitude = 1
SEP1
11 perturbation point
N Excecution Enactor
PONE : Numerical Perturbator
20 arrays of 100 integers
Random integer generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #CallRef   #Tasks     %Success                   
1          1318       0          682        168792             84,40              2000           1,00                     2000       2000       20         -------------- 65,90       
2          2000       0          0          202000             101,00             2000           1,00                     2000       2000       20         -------------------- 100,00
3          14834      0          0          11050782           744,96             14834          1,00                     14834      14834      20         -------------------- 100,00
4          8138       6696       0          11004574           741,85             14834          1,00                     14834      14834      20         ----------- 54,86          
5          14834      0          0          11050782           744,96             14834          1,00                     14834      14834      20         -------------------- 100,00
7          0          6696       0          2294500            342,67             6696           1,00                     6696       6696       20          0,00                      
8          8138       0          0          3367522            413,80             8138           1,00                     8138       8138       20         -------------------- 100,00
9          8138       0          0          3375660            414,80             8138           1,00                     8138       8138       20         -------------------- 100,00
10         2989       5149       0          3348215            411,43             8138           1,00                     8138       8138       20         -------- 36,73             
12         0          6138       0          1939922            316,05             6138           1,00                     6138       6138       20          0,00                      
13         0          2000       0          200000             100,00             2000           1,00                     2000       2000       20          0,00                      
