aggregate data per location for random rate = 0.1 and with Magnitude = 19
Exploration Plus Magnitude
magnitude value : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
11 perturbation point
PM : Numerical Perturbator
20 arrays of 100 integers
Random integer generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #Tasks     %Success                   
1          0          0          100        1439               14,39              131            1,31                     100        20          0,00                      
2          100        0          0          11132              111,32             1132           11,32                    100        20         -------------------- 100,00
3          100        0          0          78537              785,37             7786           77,86                    100        20         -------------------- 100,00
4          0          100        0          58257              582,57             5924           59,24                    100        20          0,00                      
5          0          100        0          75815              758,15             7583           75,83                    100        20          0,00                      
7          0          100        0          33480              334,80             3238           32,38                    100        20          0,00                      
8          100        0          0          40690              406,90             4033           40,33                    100        20         -------------------- 100,00
9          100        0          0          45876              458,76             4645           46,45                    100        20         -------------------- 100,00
10         0          100        0          32600              326,00             3252           32,52                    100        20          0,00                      
12         0          100        0          30690              306,90             3242           32,42                    100        20          0,00                      
13         0          100        0          10000              100,00             1052           10,52                    100        20          0,00                      
