aggregate data per location for random rate = 0.1 and with Magnitude = 1
Exploration Plus Magnitude
magnitude value : 1 5 10 25 50 100 
11 perturbation point
PM : Numerical Perturbator
20 arrays of 100 integers
Random integer generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #Tasks     %Success                   
1          5          0          95         3442               34,42              334            3,34                     100        20         - 5,00                     
2          100        0          0          11129              111,29             1129           11,29                    100        20         -------------------- 100,00
3          100        0          0          78838              788,38             7928           79,28                    100        20         -------------------- 100,00
4          0          100        0          58702              587,02             5773           57,73                    100        20          0,00                      
5          100        0          0          79270              792,70             7946           79,46                    100        20         -------------------- 100,00
7          0          100        0          33480              334,80             3318           33,18                    100        20          0,00                      
8          100        0          0          40690              406,90             4209           42,09                    100        20         -------------------- 100,00
9          100        0          0          44753              447,53             4380           43,80                    100        20         -------------------- 100,00
10         0          100        0          32809              328,09             3270           32,70                    100        20          0,00                      
12         0          100        0          30690              306,90             3070           30,70                    100        20          0,00                      
13         0          100        0          10000              100,00             981            9,81                     100        20          0,00                      
