aggregate data per location for Perturbator = 1
Exploration Plus One
PONE : plus one perturbator
25 arrays of 225 integers
Random integer generated with 23 as seed
49 perturbations points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
0          3926       254        0          700441             167,57             4180           1,00                     4180       4180       167.2             25         ------------------- 93,92  
1          4011       0          169        692451             165,66             4180           1,00                     4180       4180       167.2             25         -------------------- 95,96 
2          4180       0          0          700093             167,49             4180           1,00                     4180       4180       167.2             25         -------------------- 100,00
3          4180       0          0          699981             167,46             4180           1,00                     4180       4180       167.2             25         -------------------- 100,00
4          4180       0          0          700036             167,47             4180           1,00                     4180       4180       167.2             25         -------------------- 100,00
5          4180       0          0          699981             167,46             4180           1,00                     4180       4180       167.2             25         -------------------- 100,00
6          4180       0          0          700003             167,46             4180           1,00                     4180       4180       167.2             25         -------------------- 100,00
7          4180       0          0          700093             167,49             4180           1,00                     4180       4180       167.2             25         -------------------- 100,00
8          4180       0          0          700093             167,49             4180           1,00                     4180       4180       167.2             25         -------------------- 100,00
9          3780       0          400        699121             167,25             4180           1,00                     4180       4180       167.2             25         ------------------- 90,43  
10         20478      0          0          16782488           819,54             20478          1,00                     20478      20478      819.12            25         -------------------- 100,00
11         20478      0          0          16781067           819,47             20478          1,00                     20478      20478      819.12            25         -------------------- 100,00
13         19761      3878       0          22476881           950,84             23639          1,00                     23639      23639      945.56            25         ----------------- 83,59    
14         20427      3212       0          22483440           951,12             23639          1,00                     23639      23639      945.56            25         ------------------ 86,41   
15         23639      0          0          22492420           951,50             23639          1,00                     23639      23639      945.56            25         -------------------- 100,00
17         6329       1012       0          2274494            309,83             7341           1,00                     7341       7341       293.64            25         ------------------ 86,21   
18         6329       1012       0          2274494            309,83             7341           1,00                     7341       7341       293.64            25         ------------------ 86,21   
19         6329       1012       0          2274494            309,83             7341           1,00                     7341       7341       293.64            25         ------------------ 86,21   
20         20253      2921       169        22154423           949,08             23343          1,00                     23343      23343      933.72            25         ------------------ 86,76   
21         23343      0          0          22197920           950,95             23343          1,00                     23343      23343      933.72            25         -------------------- 100,00
22         19972      3371       0          22182460           950,28             23343          1,00                     23343      23343      933.72            25         ------------------ 85,56   
24         7045       0          0          2413220            342,54             7045           1,00                     7045       7045       281.8             25         -------------------- 100,00
25         6179       866        0          2405862            341,50             7045           1,00                     7045       7045       281.8             25         ------------------ 87,71   
26         7045       0          0          2413220            342,54             7045           1,00                     7045       7045       281.8             25         -------------------- 100,00
27         16298      0          0          10628511           652,14             16298          1,00                     16298      16298      651.92            25         -------------------- 100,00
28         15984      314        0          10625592           651,96             16298          1,00                     16298      16298      651.92            25         -------------------- 98,07 
30         10358      5626       0          10210989           638,83             15984          1,00                     15984      15984      639.36            25         ------------- 64,80        
31         8358       7489       137        10192609           637,68             15984          1,00                     15984      15984      639.36            25         ----------- 52,29          
32         13337      2647       0          10208761           638,69             15984          1,00                     15984      15984      639.36            25         ----------------- 83,44    
33         13337      2647       0          10208761           638,69             15984          1,00                     15984      15984      639.36            25         ----------------- 83,44    
34         13337      2647       0          10208761           638,69             15984          1,00                     15984      15984      639.36            25         ----------------- 83,44    
35         15984      0          0          10226747           639,81             15984          1,00                     15984      15984      639.36            25         -------------------- 100,00
36         13232      2752       0          10210742           638,81             15984          1,00                     15984      15984      639.36            25         ----------------- 82,78    
37         15984      0          0          10226747           639,81             15984          1,00                     15984      15984      639.36            25         -------------------- 100,00
38         4174       6          0          699275             167,29             4180           1,00                     4180       4180       167.2             25         -------------------- 99,86 
39         4180       0          0          702030             167,95             4180           1,00                     4180       4180       167.2             25         -------------------- 100,00
41         1810       269        0          172686             83,06              2079           1,00                     2079       2079       83.16             25         ------------------ 87,06   
42         2079       0          0          173760             83,58              2079           1,00                     2079       2079       83.16             25         -------------------- 100,00
43         4180       0          0          702082             167,96             4180           1,00                     4180       4180       167.2             25         -------------------- 100,00
44         4168       12         0          699299             167,30             4180           1,00                     4180       4180       167.2             25         -------------------- 99,71 
46         1763       313        0          172240             82,97              2076           1,00                     2076       2076       83.04             25         ----------------- 84,92    
47         1932       0          144        171802             82,76              2076           1,00                     2076       2076       83.04             25         ------------------- 93,06  
48         13216      2768       0          10217801           639,25             15984          1,00                     15984      15984      639.36            25         ----------------- 82,68    
49         5815       10169      0          10216666           639,18             15984          1,00                     15984      15984      639.36            25         -------- 36,38             
50         12342      3642       0          10213384           638,98             15984          1,00                     15984      15984      639.36            25         ---------------- 77,21     
51         10357      5490       137        10199021           638,08             15984          1,00                     15984      15984      639.36            25         ------------- 64,80        
52         5250       10734      0          10215541           639,11             15984          1,00                     15984      15984      639.36            25         ------- 32,85              
53         12192      3655       137        10198206           638,03             15984          1,00                     15984      15984      639.36            25         ---------------- 76,28     
54         5815       10169      0          10216666           639,18             15984          1,00                     15984      15984      639.36            25         -------- 36,38             
