Contains data to explore the number of task required for saturation
Task Number Exploration (TNE)
Number Task : 1 2 5 10 25 50 100 
41 perturbation point
N Execution Enactor
PONE : Numerical Perturbator
Each task is an arrays of 100
Seed used for generate task is 23
#Tasks     IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #CallRef   %Success                   
1          0          65         6          0          5072               71,44              71             1,00                     71         71         ------------------- 91,55  
2          0          130        16         0          10703              73,31              146            1,00                     146        146        ------------------ 89,04   
5          0          347        33         0          28936              76,15              380            1,00                     380        380        ------------------- 91,32  
10         0          694        73         0          58888              76,78              767            1,00                     767        767        ------------------- 90,48  
25         0          1722       179        0          144862             76,20              1901           1,00                     1901       1901       ------------------- 90,58  
50         0          3401       379        0          286767             75,86              3780           1,00                     3780       3780       ------------------ 89,97   
100        0          6844       716        0          573372             75,84              7560           1,00                     7560       7560       ------------------- 90,53  
1          1          65         0          6          4876               68,68              71             1,00                     71         71         ------------------- 91,55  
2          1          134        0          12         10321              70,69              146            1,00                     146        146        ------------------- 91,78  
5          1          348        0          32         28030              73,76              380            1,00                     380        380        ------------------- 91,58  
10         1          705        0          62         57308              74,72              767            1,00                     767        767        ------------------- 91,92  
25         1          1763       0          138        141432             74,40              1901           1,00                     1901       1901       ------------------- 92,74  
50         1          3488       0          292        279061             73,83              3780           1,00                     3780       3780       ------------------- 92,28  
100        1          6986       0          574        558389             73,86              7560           1,00                     7560       7560       ------------------- 92,41  
1          2          71         0          0          5047               71,08              71             1,00                     71         71         -------------------- 100,00
2          2          146        0          0          10679              73,14              146            1,00                     146        146        -------------------- 100,00
5          2          380        0          0          28907              76,07              380            1,00                     380        380        -------------------- 100,00
10         2          767        0          0          58845              76,72              767            1,00                     767        767        -------------------- 100,00
25         2          1901       0          0          144762             76,15              1901           1,00                     1901       1901       -------------------- 100,00
50         2          3780       0          0          286490             75,79              3780           1,00                     3780       3780       -------------------- 100,00
100        2          7560       0          0          572741             75,76              7560           1,00                     7560       7560       -------------------- 100,00
1          3          71         0          0          5039               70,97              71             1,00                     71         71         -------------------- 100,00
2          3          146        0          0          10669              73,08              146            1,00                     146        146        -------------------- 100,00
5          3          380        0          0          28908              76,07              380            1,00                     380        380        -------------------- 100,00
10         3          767        0          0          58869              76,75              767            1,00                     767        767        -------------------- 100,00
25         3          1901       0          0          144769             76,15              1901           1,00                     1901       1901       -------------------- 100,00
50         3          3780       0          0          286441             75,78              3780           1,00                     3780       3780       -------------------- 100,00
100        3          7560       0          0          572704             75,75              7560           1,00                     7560       7560       -------------------- 100,00
1          4          71         0          0          5055               71,20              71             1,00                     71         71         -------------------- 100,00
2          4          146        0          0          10679              73,14              146            1,00                     146        146        -------------------- 100,00
5          4          380        0          0          28919              76,10              380            1,00                     380        380        -------------------- 100,00
10         4          767        0          0          58886              76,77              767            1,00                     767        767        -------------------- 100,00
25         4          1901       0          0          144729             76,13              1901           1,00                     1901       1901       -------------------- 100,00
50         4          3780       0          0          286344             75,75              3780           1,00                     3780       3780       -------------------- 100,00
100        4          7560       0          0          572624             75,74              7560           1,00                     7560       7560       -------------------- 100,00
1          5          71         0          0          5039               70,97              71             1,00                     71         71         -------------------- 100,00
2          5          146        0          0          10669              73,08              146            1,00                     146        146        -------------------- 100,00
5          5          380        0          0          28908              76,07              380            1,00                     380        380        -------------------- 100,00
10         5          767        0          0          58869              76,75              767            1,00                     767        767        -------------------- 100,00
25         5          1901       0          0          144769             76,15              1901           1,00                     1901       1901       -------------------- 100,00
50         5          3780       0          0          286441             75,78              3780           1,00                     3780       3780       -------------------- 100,00
100        5          7560       0          0          572704             75,75              7560           1,00                     7560       7560       -------------------- 100,00
1          6          71         0          0          5055               71,20              71             1,00                     71         71         -------------------- 100,00
2          6          146        0          0          10700              73,29              146            1,00                     146        146        -------------------- 100,00
5          6          380        0          0          28925              76,12              380            1,00                     380        380        -------------------- 100,00
10         6          767        0          0          58862              76,74              767            1,00                     767        767        -------------------- 100,00
25         6          1901       0          0          144721             76,13              1901           1,00                     1901       1901       -------------------- 100,00
50         6          3780       0          0          286373             75,76              3780           1,00                     3780       3780       -------------------- 100,00
100        6          7560       0          0          572656             75,75              7560           1,00                     7560       7560       -------------------- 100,00
1          7          71         0          0          5047               71,08              71             1,00                     71         71         -------------------- 100,00
2          7          146        0          0          10679              73,14              146            1,00                     146        146        -------------------- 100,00
5          7          380        0          0          28907              76,07              380            1,00                     380        380        -------------------- 100,00
10         7          767        0          0          58845              76,72              767            1,00                     767        767        -------------------- 100,00
25         7          1901       0          0          144762             76,15              1901           1,00                     1901       1901       -------------------- 100,00
50         7          3780       0          0          286490             75,79              3780           1,00                     3780       3780       -------------------- 100,00
100        7          7560       0          0          572741             75,76              7560           1,00                     7560       7560       -------------------- 100,00
1          8          71         0          0          5047               71,08              71             1,00                     71         71         -------------------- 100,00
2          8          146        0          0          10679              73,14              146            1,00                     146        146        -------------------- 100,00
5          8          380        0          0          28907              76,07              380            1,00                     380        380        -------------------- 100,00
10         8          767        0          0          58845              76,72              767            1,00                     767        767        -------------------- 100,00
25         8          1901       0          0          144762             76,15              1901           1,00                     1901       1901       -------------------- 100,00
50         8          3780       0          0          286490             75,79              3780           1,00                     3780       3780       -------------------- 100,00
100        8          7560       0          0          572741             75,76              7560           1,00                     7560       7560       -------------------- 100,00
1          9          67         0          4          5076               71,49              71             1,00                     71         71         ------------------- 94,37  
2          9          138        0          8          10732              73,51              146            1,00                     146        146        ------------------- 94,52  
5          9          347        0          33         28975              76,25              380            1,00                     380        380        ------------------- 91,32  
10         9          701        0          66         58949              76,86              767            1,00                     767        767        ------------------- 91,40  
25         9          1720       0          181        144707             76,12              1901           1,00                     1901       1901       ------------------- 90,48  
50         9          3429       0          351        286645             75,83              3780           1,00                     3780       3780       ------------------- 90,71  
100        9          6842       0          718        573200             75,82              7560           1,00                     7560       7560       ------------------- 90,50  
1          10         310        0          0          96201              310,33             310            1,00                     310        310        -------------------- 100,00
2          10         627        0          0          196744             313,79             627            1,00                     627        627        -------------------- 100,00
5          10         1586       0          0          503486             317,46             1586           1,00                     1586       1586       -------------------- 100,00
10         10         3184       0          0          1014610            318,66             3184           1,00                     3184       3184       -------------------- 100,00
25         10         7906       0          0          2503075            316,60             7906           1,00                     7906       7906       -------------------- 100,00
50         10         15814      0          0          5008045            316,68             15814          1,00                     15814      15814      -------------------- 100,00
100        10         31477      0          0          9920617            315,17             31477          1,00                     31477      31477      -------------------- 100,00
1          11         310        0          0          96140              310,13             310            1,00                     310        310        -------------------- 100,00
2          11         627        0          0          196678             313,68             627            1,00                     627        627        -------------------- 100,00
5          11         1586       0          0          503402             317,40             1586           1,00                     1586       1586       -------------------- 100,00
10         11         3184       0          0          1014520            318,63             3184           1,00                     3184       3184       -------------------- 100,00
25         11         7906       0          0          2502762            316,56             7906           1,00                     7906       7906       -------------------- 100,00
50         11         15814      0          0          5007250            316,63             15814          1,00                     15814      15814      -------------------- 100,00
100        11         31477      0          0          9919082            315,12             31477          1,00                     31477      31477      -------------------- 100,00
1          13         255        44         0          89831              300,44             299            1,00                     299        299        ------------------ 85,28   
2          13         512        83         0          177779             298,79             595            1,00                     595        595        ------------------ 86,05   
5          13         1319       245        0          492692             315,02             1564           1,00                     1564       1564       ----------------- 84,34    
10         13         2667       522        0          1029632            322,87             3189           1,00                     3189       3189       ----------------- 83,63    
25         13         7571       1608       0          3458766            376,81             9179           1,00                     9179       9179       ----------------- 82,48    
50         13         14647      3043       0          6415790            362,68             17690          1,00                     17690      17690      ----------------- 82,80    
100        13         29653      6340       0          13204568           366,86             35993          1,00                     35993      35993      ----------------- 82,39    
1          14         263        36         0          89503              299,34             299            1,00                     299        299        ------------------ 87,96   
2          14         523        72         0          177237             297,88             595            1,00                     595        595        ------------------ 87,90   
5          14         1349       215        0          490873             313,86             1564           1,00                     1564       1564       ------------------ 86,25   
10         14         2781       408        0          1024615            321,30             3189           1,00                     3189       3189       ------------------ 87,21   
25         14         7980       1199       0          3456224            376,54             9179           1,00                     9179       9179       ------------------ 86,94   
50         14         15419      2271       0          6404255            362,03             17690          1,00                     17690      17690      ------------------ 87,16   
100        14         31226      4767       0          13190841           366,48             35993          1,00                     35993      35993      ------------------ 86,76   
1          15         299        0          0          89877              300,59             299            1,00                     299        299        -------------------- 100,00
2          15         595        0          0          177735             298,71             595            1,00                     595        595        -------------------- 100,00
5          15         1564       0          0          492504             314,90             1564           1,00                     1564       1564       -------------------- 100,00
10         15         3189       0          0          1027156            322,09             3189           1,00                     3189       3189       -------------------- 100,00
25         15         9179       0          0          3463513            377,33             9179           1,00                     9179       9179       -------------------- 100,00
50         15         17690      0          0          6420595            362,95             17690          1,00                     17690      17690      -------------------- 100,00
100        15         35993      0          0          13219211           367,27             35993          1,00                     35993      35993      -------------------- 100,00
1          17         60         0          0          3600               60,00              60             1,00                     60         60         -------------------- 100,00
2          17         114        0          0          6516               57,16              114            1,00                     114        114        -------------------- 100,00
5          17         358        0          0          27094              75,68              358            1,00                     358        358        -------------------- 100,00
10         17         772        0          0          65260              84,53              772            1,00                     772        772        -------------------- 100,00
25         17         3174       0          0          497864             156,86             3174           1,00                     3174       3174       -------------------- 100,00
50         17         5656       0          0          792690             140,15             5656           1,00                     5656       5656       -------------------- 100,00
100        17         12076      0          0          1710850            141,67             12076          1,00                     12076      12076      -------------------- 100,00
1          18         319        54         6          143215             377,88             379            1,00                     379        379        ----------------- 84,17    
2          18         687        102        12         319626             399,03             801            1,00                     801        801        ------------------ 85,77   
5          18         1660       258        32         759996             389,74             1950           1,00                     1950       1950       ------------------ 85,13   
10         18         3269       512        62         1477533            384,47             3843           1,00                     3843       3843       ------------------ 85,06   
25         18         7666       1179       138        3267082            363,70             8983           1,00                     8983       8983       ------------------ 85,34   
50         18         16103      2369       292        7159223            381,54             18764          1,00                     18764      18764      ------------------ 85,82   
100        18         31639      4748       574        13841812           374,50             36961          1,00                     36961      36961      ------------------ 85,60   
1          19         379        0          0          144062             380,11             379            1,00                     379        379        -------------------- 100,00
2          19         801        0          0          321996             401,99             801            1,00                     801        801        -------------------- 100,00
5          19         1950       0          0          765752             392,69             1950           1,00                     1950       1950       -------------------- 100,00
10         19         3843       0          0          1487753            387,13             3843           1,00                     3843       3843       -------------------- 100,00
