SERN
random Rates : 0.001 0.002 0.005 0.009 0.01 0.02 0.05 0.09 0.1 0.2 0.5 0.9 
37 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 23 as seed
aggregate data per location for magnitude = 0.2
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        0          1          0          87         22          0,00                      
304        0          0          1          47         9           0,00                      
305        1          0          0          89         23         -------------------- 100,00
306        1          0          0          87         22         -------------------- 100,00
307        1          0          0          89         23         -------------------- 100,00
308        1          0          0          87         22         -------------------- 100,00
309        1          0          0          90         23         -------------------- 100,00
310        1          0          0          89         23         -------------------- 100,00
311        1          0          0          89         23         -------------------- 100,00
312        0          0          1          65         16          0,00                      
313        1          0          0          303        65         -------------------- 100,00
314        1          0          0          319        67         -------------------- 100,00
316        0          1          0          368        82          0,00                      
317        1          0          0          420        93         -------------------- 100,00
318        1          0          0          426        95         -------------------- 100,00
320        0          0          1          446        101         0,00                      
321        0          0          1          102        25          0,00                      
322        1          0          0          471        111        -------------------- 100,00
324        1          0          0          221        46         -------------------- 100,00
325        0          1          0          206        43          0,00                      
327        0          1          0          181        38          0,00                      
328        0          1          0          183        38          0,00                      
329        0          1          0          84         22          0,00                      
330        1          0          0          96         23         -------------------- 100,00
332        0          1          0          41         6           0,00                      
333        1          0          0          42         7          -------------------- 100,00
334        0          1          0          87         22          0,00                      
335        1          0          0          105        25         -------------------- 100,00
337        0          1          0          46         8           0,00                      
338        0          0          1          48         10          0,00                      
339        0          0          1          143        33          0,00                      
340        0          1          0          182        38          0,00                      
341        0          1          0          180        38          0,00                      
342        0          1          0          189        39          0,00                      
343        0          1          0          181        38          0,00                      
344        0          1          0          181        38          0,00                      
345        0          1          0          182        38          0,00                      
