contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
89 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
1 sudoku grid 
Those grid are read from file in resources/sudoku/grid.txt
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
2          0          463        26         115        327676     604            ---------------- 76.66     
5          0          245        12         347        258987     604            --------- 40.56            
10         0          0          0          604        182710     604             0.00                      
20         0          0          0          604        182710     604             0.00                      
50         0          0          0          604        182710     604             0.00                      
2          1          476        28         100        334651     604            ---------------- 78.81     
5          1          304        16         284        278291     604            ----------- 50.33          
10         1          0          0          604        182710     604             0.00                      
20         1          0          0          604        182710     604             0.00                      
50         1          0          0          604        182710     604             0.00                      
2          3          207        18         11         56936      236            ------------------ 87.71   
5          3          128        8          100        47665      236            ----------- 54.24          
10         3          0          0          236        27966      236             0.00                      
20         3          0          0          236        27966      236             0.00                      
50         3          0          0          236        27966      236             0.00                      
2          4          174        27         35         52256      236            --------------- 73.73      
5          4          100        17         119        42756      236            --------- 42.37            
10         4          0          0          236        27966      236             0.00                      
20         4          0          0          236        27966      236             0.00                      
50         4          0          0          236        27966      236             0.00                      
2          7          77         16         15         10573      108            --------------- 71.30      
5          7          40         16         52         8582       108            -------- 37.04             
10         7          0          0          108        5886       108             0.00                      
20         7          0          0          108        5886       108             0.00                      
50         7          0          0          108        5886       108             0.00                      
2          8          88         17         3          11381      108            ----------------- 81.48    
5          8          68         24         16         10740      108            ------------- 62.96        
10         8          62         18         28         9820       108            ------------ 57.41         
20         8          33         6          69         7980       108            ------- 30.56              
50         8          0          0          108        5886       108             0.00                      
2          9          60         29         19         10075      108            ------------ 55.56         
5          9          46         12         50         9210       108            --------- 42.59            
10         9          0          0          108        5886       108             0.00                      
20         9          0          0          108        5886       108             0.00                      
50         9          0          0          108        5886       108             0.00                      
2          10         58         27         23         9858       108            ----------- 53.70          
5          10         35         15         58         8372       108            ------- 32.41              
10         10         0          0          108        5886       108             0.00                      
20         10         0          0          108        5886       108             0.00                      
