aggregate data per location for Perturbator = NEGB
Exploration Boolean Negation
26 perturbation point.
NEGB : negation of boolean value.
20 sudoku grid 
Those grid are read from file in resources/sudoku/grid.txt
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
2          1603       389        0          208166             104,50             1992           1,00                     1992       1992       99.6              20         ----------------- 80,47    
5          202        389        0          17444              29,52              591            1,00                     591        591        29.55             20         ------- 34,18              
6          1603       389        0          214196             107,53             1992           1,00                     1992       1992       99.6              20         ----------------- 80,47    
11         28         389        0          5852               14,03              417            1,00                     417        417        20.85             20         -- 6,71                    
12         517        1475       0          226947             113,93             1992           1,00                     1992       1992       99.6              20         ------ 25,95               
13         517        1475       0          226947             113,93             1992           1,00                     1992       1992       99.6              20         ------ 25,95               
16         20         0          0          20                 1,00               20             1,00                     20         20         1.0               20         -------------------- 100,00
19         458        1018       180        124225             75,02              1656           1,00                     1656       1656       82.8              20         ------ 27,66               
22         0          160        20         900                5,00               180            1,00                     180        180        9.0               20          0,00                      
23         1          19         0          21                 1,05               20             1,00                     20         20         1.0               20         - 5,00                     
28         10         1626       0          91749              56,08              1636           1,00                     1636       1636       81.8              20         - 0,61                     
33         73         1153       0          77272              63,03              1226           1,00                     1226       1226       61.3              20         -- 5,95                    
37         135        1857       10         241610             120,68             2002           1,00                     2002       2002       100.1             20         -- 6,74                    
41         517        1475       0          226947             113,93             1992           1,00                     1992       1992       99.6              20         ------ 25,95               
48         402        8          0          8575               20,91              410            1,00                     410        410        20.5              20         -------------------- 98,05 
53         7          403        0          8614               21,01              410            1,00                     410        410        20.5              20         - 1,71                     
54         26         374        0          4299               10,75              400            1,00                     400        400        20.0              20         -- 6,50                    
58         0          10         0          134                13,40              10             1,00                     10         10         0.5               20          0,00                      
62         0          10         0          18                 1,80               10             1,00                     10         10         0.5               20          0,00                      
83         19         161        20         1100               5,50               200            1,00                     200        200        10.0              20         -- 9,50                    
87         1602       18         180        146700             81,50              1800           1,00                     1800       1800       90.0              20         ------------------ 89,00   
93         1218       2          400        115397             71,23              1620           1,00                     1620       1620       81.0              20         ---------------- 75,19     
97         1218       2          0          74420              61,00              1220           1,00                     1220       1220       61.0              20         -------------------- 99,84 
102        1630       10         0          134846             82,22              1640           1,00                     1640       1640       82.0              20         -------------------- 99,39 
107        1630       10         0          135036             82,34              1640           1,00                     1640       1640       82.0              20         -------------------- 99,39 
114        1630       10         0          134630             82,09              1640           1,00                     1640       1640       82.0              20         -------------------- 99,39 
