aggregate data per location for magnitude = 0.05
SERN
89 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
1 sudoku grid 
Those grid are read from file in resources/sudoku/grid.txt
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
188        0          0          1          797        42          0,00                      
189        0          0          1          777        38          0,00                      
191        0          0          1          5932       280         0,00                      
192        0          0          1          476        23          0,00                      
195        0          0          1          580        26          0,00                      
196        1          0          0          672        28         -------------------- 100,00
197        0          1          0          24506      1217        0,00                      
198        0          0          1          47         2           0,00                      
202        1          0          0          1          0          -------------------- 100,00
203        1          0          0          1          0          -------------------- 100,00
205        1          0          0          670        28         -------------------- 100,00
206        1          0          0          638        28         -------------------- 100,00
208        1          0          0          37         0          -------------------- 100,00
209        1          0          0          37         0          -------------------- 100,00
212        0          0          1          353        17          0,00                      
213        0          1          0          1499       70          0,00                      
214        0          1          0          556        25          0,00                      
215        0          1          0          556        25          0,00                      
217        0          0          1          47         2           0,00                      
218        0          0          1          47         2           0,00                      
219        0          0          1          47         2           0,00                      
220        0          0          1          60         5           0,00                      
222        1          0          0          445        20         -------------------- 100,00
223        1          0          0          4238       208        -------------------- 100,00
224        0          0          1          134        8           0,00                      
226        0          0          1          927        48          0,00                      
227        0          0          1          13059536   652640      0,00                      
228        0          0          1          465        22          0,00                      
230        0          0          1          297        15          0,00                      
231        0          0          1          395        18          0,00                      
232        0          1          0          455        21          0,00                      
233        0          1          0          140        8           0,00                      
234        0          1          0          739        36          0,00                      
235        0          0          1          47         2           0,00                      
237        0          0          1          297        15          0,00                      
238        0          0          1          297        15          0,00                      
239        0          0          1          297        15          0,00                      
240        0          1          0          62         5           0,00                      
243        0          1          0          201        10          0,00                      
244        0          1          0          74         5           0,00                      
245        0          0          1          47         2           0,00                      
247        0          0          1          60         5           0,00                      
248        0          1          0          436        20          0,00                      
249        0          1          0          332        16          0,00                      
251        0          0          1          47         2           0,00                      
252        0          1          0          1818       82          0,00                      
253        0          0          1          45         1           0,00                      
254        0          1          0          1755       78          0,00                      
255        1          0          0          1520       70         -------------------- 100,00
256        0          1          0          756        36          0,00                      
257        0          0          1          45         1           0,00                      
258        0          1          0          1147       57          0,00                      
259        0          1          0          756        36          0,00                      
260        0          1          0          756        36          0,00                      
261        0          1          0          756        36          0,00                      
262        1          0          0          1          0          -------------------- 100,00
263        1          0          0          1          0          -------------------- 100,00
264        1          0          0          1          0          -------------------- 100,00
265        1          0          0          1          0          -------------------- 100,00
266        1          0          0          1          0          -------------------- 100,00
267        1          0          0          1          0          -------------------- 100,00
268        1          0          0          1          0          -------------------- 100,00
269        1          0          0          10         0          -------------------- 100,00
270        1          0          0          10         0          -------------------- 100,00
272        1          0          0          9          0          -------------------- 100,00
273        1          0          0          90         6          -------------------- 100,00
274        0          0          1          60         5           0,00                      
276        0          1          0          81         5           0,00                      
277        0          0          1          45         1           0,00                      
278        0          0          1          60         5           0,00                      
279        0          0          1          47         2           0,00                      
280        0          0          1          47         2           0,00                      
282        1          0          0          32         0          -------------------- 100,00
283        1          0          0          32         0          -------------------- 100,00
284        1          0          0          32         0          -------------------- 100,00
286        0          1          0          528        25          0,00                      
287        0          0          1          56         4           0,00                      
288        0          0          1          45         1           0,00                      
289        0          0          1          56         4           0,00                      
291        0          1          0          246        12          0,00                      
292        0          0          1          56         4           0,00                      
293        0          0          1          45         1           0,00                      
294        0          0          1          56         4           0,00                      
296        0          0          1          330        16          0,00                      
297        0          1          0          936        49          0,00                      
298        0          1          0          186        9           0,00                      
299        0          0          1          56         4           0,00                      
300        0          0          1          45         1           0,00                      
301        0          0          1          56         4           0,00                      
