detail per task and per magnitudes.
SEPM
magnitude value : 2 5 10 20 50 
19 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
Task       Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
0          2          303        1          0          0          1          1          -------------------- 100,00
0          5          303        1          0          0          1          1          -------------------- 100,00
0          10         303        1          0          0          1          1          -------------------- 100,00
0          20         303        1          0          0          1          1          -------------------- 100,00
0          50         303        1          0          0          1          1          -------------------- 100,00
0          2          304        0          0          1          1          1           0,00                      
0          5          304        0          0          1          1          1           0,00                      
0          10         304        0          0          1          1          1           0,00                      
0          20         304        0          0          1          1          1           0,00                      
0          50         304        0          0          1          1          1           0,00                      
0          2          305        256        0          1          66046      257        -------------------- 99,61 
0          5          305        253        0          4          66034      257        -------------------- 98,44 
0          10         305        248        0          9          65994      257        -------------------- 96,50 
0          20         305        238        0          19         65839      257        ------------------- 92,61  
0          50         305        208        0          49         64774      257        ----------------- 80,93    
0          2          306        257        0          0          66050      257        -------------------- 100,00
0          5          306        257        0          0          66050      257        -------------------- 100,00
0          10         306        257        0          0          66050      257        -------------------- 100,00
0          20         306        257        0          0          66050      257        -------------------- 100,00
0          50         306        257        0          0          66050      257        -------------------- 100,00
0          2          308        178        0          78         65536      256        -------------- 69,53       
0          5          308        178        0          78         65536      256        -------------- 69,53       
0          10         308        178        0          78         65536      256        -------------- 69,53       
0          20         308        178        0          78         65536      256        -------------- 69,53       
0          50         308        178        0          78         65536      256        -------------- 69,53       
0          2          309        0          1          0          1          1           0,00                      
0          5          309        0          1          0          1          1           0,00                      
0          10         309        0          1          0          1          1           0,00                      
0          20         309        0          1          0          1          1           0,00                      
0          50         309        0          1          0          1          1           0,00                      
0          2          310        99         0          0          9801       99         -------------------- 100,00
0          5          310        99         0          0          9801       99         -------------------- 100,00
0          10         310        99         0          0          9801       99         -------------------- 100,00
0          20         310        97         0          2          9637       99         -------------------- 97,98 
0          50         310        94         0          5          9390       99         ------------------- 94,95  
0          2          312        0          99         0          9801       99          0,00                      
0          5          312        0          99         0          9801       99          0,00                      
0          10         312        0          99         0          9801       99          0,00                      
0          20         312        0          97         2          9637       99          0,00                      
0          50         312        0          94         5          9390       99          0,00                      
0          2          313        0          0          0          0          0           NaN                       
0          5          313        0          0          0          0          0           NaN                       
0          10         313        0          0          0          0          0           NaN                       
0          20         313        0          0          0          0          0           NaN                       
0          50         313        0          0          0          0          0           NaN                       
0          2          314        0          0          0          0          0           NaN                       
0          5          314        0          0          0          0          0           NaN                       
0          10         314        0          0          0          0          0           NaN                       
0          20         314        0          0          0          0          0           NaN                       
0          50         314        0          0          0          0          0           NaN                       
0          2          316        0          0          0          0          0           NaN                       
0          5          316        0          0          0          0          0           NaN                       
0          10         316        0          0          0          0          0           NaN                       
0          20         316        0          0          0          0          0           NaN                       
0          50         316        0          0          0          0          0           NaN                       
0          2          317        0          0          99         4950       99          0,00                      
0          5          317        0          0          99         4950       99          0,00                      
0          10         317        0          0          99         4950       99          0,00                      
0          20         317        0          0          99         4950       99          0,00                      
0          50         317        0          0          99         4950       99          0,00                      
0          2          318        1          0          0          1          1          -------------------- 100,00
0          5          318        1          0          0          1          1          -------------------- 100,00
0          10         318        1          0          0          1          1          -------------------- 100,00
0          20         318        1          0          0          1          1          -------------------- 100,00
0          50         318        1          0          0          1          1          -------------------- 100,00
0          2          319        0          0          1          1          1           0,00                      
0          5          319        0          0          1          1          1           0,00                      
0          10         319        0          0          1          1          1           0,00                      
0          20         319        0          0          1          1          1           0,00                      
0          50         319        0          0          1          1          1           0,00                      
0          2          320        256        0          1          66046      257        -------------------- 99,61 
0          5          320        253        0          4          66034      257        -------------------- 98,44 
0          10         320        248        0          9          65994      257        -------------------- 96,50 
0          20         320        238        0          19         65839      257        ------------------- 92,61  
0          50         320        208        0          49         64774      257        ----------------- 80,93    
0          2          321        257        0          0          66050      257        -------------------- 100,00
0          5          321        257        0          0          66050      257        -------------------- 100,00
0          10         321        257        0          0          66050      257        -------------------- 100,00
0          20         321        257        0          0          66050      257        -------------------- 100,00
0          50         321        257        0          0          66050      257        -------------------- 100,00
0          2          323        177        79         0          65536      256        -------------- 69,14       
0          5          323        177        79         0          65536      256        -------------- 69,14       
0          10         323        177        79         0          65536      256        -------------- 69,14       
0          20         323        177        78         1          65536      256        -------------- 69,14       
0          50         323        177        75         4          65536      256        -------------- 69,14       
0          2          325        0          99         0          9801       99          0,00                      
0          5          325        0          99         0          9801       99          0,00                      
0          10         325        0          99         0          9801       99          0,00                      
0          20         325        0          97         2          9801       99          0,00                      
0          50         325        0          94         5          9801       99          0,00                      
0          2          327        0          1          0          1          1           0,00                      
0          5          327        0          1          0          1          1           0,00                      
0          10         327        0          1          0          1          1           0,00                      
0          20         327        0          1          0          1          1           0,00                      
0          50         327        0          1          0          1          1           0,00                      
