contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
19 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
100 string of 200 char
Random char generated with 23 as seed
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
2          0          70         30         0          100        100            -------------- 70.00       
5          0          70         30         0          100        100            -------------- 70.00       
10         0          70         27         3          100        100            -------------- 70.00       
20         0          70         23         7          100        100            -------------- 70.00       
50         0          70         15         15         100        100            -------------- 70.00       
2          1          20         0          80         100        100            ---- 20.00                 
5          1          4          0          96         100        100            - 4.00                     
10         1          0          0          100        100        100             0.00                      
20         1          0          0          100        100        100             0.00                      
50         1          0          0          100        100        100             0.00                      
2          2          25551      0          149        6604600    25700          -------------------- 99.42 
5          2          25258      0          442        6603400    25700          -------------------- 98.28 
10         2          24758      0          942        6599400    25700          -------------------- 96.33 
20         2          23758      0          1942       6583900    25700          ------------------- 92.44  
50         2          20758      0          4942       6477400    25700          ----------------- 80.77    
2          3          25700      0          0          6605000    25700          -------------------- 100.00
5          3          25700      0          0          6605000    25700          -------------------- 100.00
10         3          25700      0          0          6605000    25700          -------------------- 100.00
20         3          25700      0          0          6605000    25700          -------------------- 100.00
50         3          25700      0          0          6605000    25700          -------------------- 100.00
2          5          11774      0          13826      6553600    25600          ---------- 45.99           
5          5          11774      0          13826      6553600    25600          ---------- 45.99           
10         5          11774      0          13826      6553600    25600          ---------- 45.99           
20         5          11774      0          13826      6553600    25600          ---------- 45.99           
50         5          11774      0          13826      6553600    25600          ---------- 45.99           
2          6          0          100        0          100        100             0.00                      
5          6          0          100        0          100        100             0.00                      
10         6          0          100        0          100        100             0.00                      
20         6          0          100        0          100        100             0.00                      
50         6          0          100        0          100        100             0.00                      
2          7          19863      0          5          3946661    19868          -------------------- 99.97 
5          7          19855      0          13         3945315    19868          -------------------- 99.93 
10         7          19835      0          33         3941439    19868          -------------------- 99.83 
20         7          19781      0          87         3931370    19868          -------------------- 99.56 
50         7          19398      0          470        3863366    19868          -------------------- 97.63 
2          9          0          19863      5          3946661    19868           0.00                      
5          9          0          19855      13         3945315    19868           0.00                      
10         9          0          19835      33         3941439    19868           0.00                      
20         9          0          19781      87         3931370    19868           0.00                      
50         9          0          19398      470        3863366    19868           0.00                      
2          10         0          0          0          0          0              NaN                        
5          10         0          0          0          0          0              NaN                        
10         10         0          0          0          0          0              NaN                        
20         10         0          0          0          0          0              NaN                        
50         10         0          0          0          0          0              NaN                        
2          11         0          0          0          0          0              NaN                        
5          11         0          0          0          0          0              NaN                        
10         11         0          0          0          0          0              NaN                        
20         11         0          0          0          0          0              NaN                        
50         11         0          0          0          0          0              NaN                        
2          13         0          0          0          0          0              NaN                        
5          13         0          0          0          0          0              NaN                        
10         13         0          0          0          0          0              NaN                        
20         13         0          0          0          0          0              NaN                        
50         13         0          0          0          0          0              NaN                        
2          14         0          0          19868      1983634    19868           0.00                      
5          14         0          0          19868      1983634    19868           0.00                      
10         14         0          0          19868      1983634    19868           0.00                      
20         14         0          0          19868      1983634    19868           0.00                      
50         14         0          0          19868      1983634    19868           0.00                      
2          15         70         28         2          100        100            -------------- 70.00       
5          15         70         25         5          100        100            -------------- 70.00       
10         15         70         24         6          100        100            -------------- 70.00       
20         15         70         23         7          100        100            -------------- 70.00       
50         15         70         20         10         100        100            -------------- 70.00       
2          16         20         0          80         100        100            ---- 20.00                 
5          16         4          0          96         100        100            - 4.00                     
10         16         0          0          100        100        100             0.00                      
20         16         0          0          100        100        100             0.00                      
50         16         0          0          100        100        100             0.00                      
2          17         25551      0          149        6604600    25700          -------------------- 99.42 
5          17         25258      0          442        6603400    25700          -------------------- 98.28 
10         17         24758      0          942        6599400    25700          -------------------- 96.33 
20         17         23758      0          1942       6583900    25700          ------------------- 92.44  
50         17         20758      0          4942       6477400    25700          ----------------- 80.77    
2          18         25700      0          0          6605000    25700          -------------------- 100.00
5          18         25700      0          0          6605000    25700          -------------------- 100.00
10         18         25700      0          0          6605000    25700          -------------------- 100.00
20         18         25700      0          0          6605000    25700          -------------------- 100.00
50         18         25700      0          0          6605000    25700          -------------------- 100.00
2          20         11730      13870      0          6553600    25600          ---------- 45.82           
5          20         11730      13863      7          6553600    25600          ---------- 45.82           
10         20         11730      13846      24         6553600    25600          ---------- 45.82           
20         20         11730      13801      69         6553600    25600          ---------- 45.82           
50         20         11730      13461      409        6553600    25600          ---------- 45.82           
2          22         0          19866      2          3947400    19868           0.00                      
5          22         0          19856      12         3947400    19868           0.00                      
10         22         0          19838      30         3947400    19868           0.00                      
20         22         0          19787      81         3947400    19868           0.00                      
50         22         0          19418      450        3947400    19868           0.00                      
2          24         0          100        0          100        100             0.00                      
5          24         0          100        0          100        100             0.00                      
10         24         0          100        0          100        100             0.00                      
20         24         0          100        0          100        100             0.00                      
50         24         0          100        0          100        100             0.00                      
