aggregate data per location for magnitude = 10
SEPM
19 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        20         0          0          20         20         -------------------- 100,00
304        0          0          20         20         20          0,00                      
305        4976       0          164        1319880    5140       -------------------- 96,81 
306        5140       0          0          1321000    5140       -------------------- 100,00
308        3488       0          1632       1310720    5120       -------------- 68,13       
309        0          20         0          20         20          0,00                      
310        1976       0          4          195641     1980       -------------------- 99,80 
312        0          1976       4          195641     1980        0,00                      
313        0          0          0          0          0           NaN                       
314        0          0          0          0          0           NaN                       
316        0          0          0          0          0           NaN                       
317        0          0          1980       99000      1980        0,00                      
318        20         0          0          20         20         -------------------- 100,00
319        0          0          20         20         20          0,00                      
320        4976       0          164        1319880    5140       -------------------- 96,81 
321        5140       0          0          1321000    5140       -------------------- 100,00
323        3475       1642       3          1310720    5120       -------------- 67,87       
325        0          1977       3          196020     1980        0,00                      
327        0          20         0          20         20          0,00                      
