Aggregate data for all tasks per location for magnitude = 1
SEP1
19 perturbation point
N Excecution Enactor
PONE : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        20         0          0          20         20         -------------------- 100,00
304        11         0          9          20         20         ------------ 55,00         
305        5134       0          6          1320960    5140       -------------------- 99,88 
306        5140       0          0          1321000    5140       -------------------- 100,00
308        3488       0          1632       1310720    5120       -------------- 68,13       
309        0          20         0          20         20          0,00                      
310        1980       0          0          196020     1980       -------------------- 100,00
312        0          1980       0          196020     1980        0,00                      
313        0          0          0          0          0           NaN                       
314        0          0          0          0          0           NaN                       
316        0          0          0          0          0           NaN                       
317        0          0          1980       99000      1980        0,00                      
318        20         0          0          20         20         -------------------- 100,00
319        11         0          9          20         20         ------------ 55,00         
320        5134       0          6          1320960    5140       -------------------- 99,88 
321        5140       0          0          1321000    5140       -------------------- 100,00
323        3475       1645       0          1310720    5120       -------------- 67,87       
325        0          1980       0          196020     1980        0,00                      
327        0          20         0          20         20          0,00                      
