aggregate data per location for magnitude = 0.02
SERN
19 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        20         0          0          20         0          -------------------- 100,00
304        20         0          0          20         0          -------------------- 100,00
305        20         0          0          5138       107        -------------------- 100,00
306        20         0          0          5140       107        -------------------- 100,00
308        4          0          16         5120       107        ---- 20,00                 
309        20         0          0          20         0          -------------------- 100,00
310        20         0          0          1980       42         -------------------- 100,00
312        1          19         0          1980       42         - 5,00                     
313        20         0          0          0          0          -------------------- 100,00
314        20         0          0          0          0          -------------------- 100,00
316        20         0          0          0          0          -------------------- 100,00
317        2          0          18         780        18         -- 10,00                   
318        20         0          0          20         0          -------------------- 100,00
319        20         0          0          20         0          -------------------- 100,00
320        20         0          0          5138       107        -------------------- 100,00
321        20         0          0          5140       107        -------------------- 100,00
323        4          16         0          5120       107        ---- 20,00                 
325        1          19         0          1980       42         - 5,00                     
327        20         0          0          20         0          -------------------- 100,00
